t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft
0.0,39.471957,-82.139821,34843.470164,39.471965,-82.139803,34406.851392
5.0,39.48204579208333,-82.14350256708333,34843.470164,39.48205376,-82.14348475964054,34341.860941007486
10.0,39.492134584166664,-82.14718413416666,34774.616894771665,39.49214252,-82.14716651922387,34276.87049001499
15.0,39.50222337625,-82.15086570125,34705.76362554333,39.50223128,-82.1508482788072,34211.880039022486
20.0,39.51231216833333,-82.15454726833333,34636.910356315,39.51232004,-82.15453003839053,34146.88958802998
25.0,39.52240096041666,-82.15822883541666,34568.057087086665,39.5224088,-82.15821179797386,34081.899137037486
30.0,39.532489752500005,-82.1619104025,34499.20381785833,39.532497559999996,-82.16189355755719,34016.90868604498
35.0,39.542578544583336,-82.16559196958333,34430.35054863,39.54258632,-82.16557531714052,33951.91823505248
40.0,39.55266733722594,-82.16927353666667,34361.497279401665,39.54427163999955,-82.16925707672385,33886.92778405998
45.0,39.56275612930927,-82.17295510375,34292.64401017333,39.55436039999955,-82.17293883630718,33821.93733306748
50.0,39.5728449213926,-82.17663667083333,34223.790740945,39.564449159999555,-82.17662059589051,33756.946882074975
55.0,39.58293371347593,-82.18031823791667,34154.937471716665,39.57453791999956,-82.18030235547384,33691.95643108248
60.0,39.59302250555926,-82.183999805,34086.08420248833,39.58462667999956,-82.18030235547384,33626.965980089975
65.0,39.60311129764259,-82.18768137208333,34017.23093326,39.59471543999956,-82.18398411505717,33561.97552909747
70.0,39.61320008972592,-82.19136293916667,34017.23093326,39.60480419999956,-82.1876658746405,33496.985078104975
75.0,39.62328888180925,-82.19504450625,33948.377664031665,39.614892959999565,-82.19134763422383,33431.99462711247
80.0,39.63337767389258,-82.19872607333333,33879.52439480333,39.62498171999957,-82.19502939380716,33367.00417611997
85.0,39.64346646597591,-82.20240764041667,33810.67112557499,39.63507047999957,-82.19871115339049,33302.01372512747
90.0,39.65355525805924,-82.20608920810976,33741.81785634666,39.64515923999957,-82.20239291297382,33237.02327413497
95.0,39.66364405014257,-82.20977077522896,33672.964587118324,39.655247999999574,-82.20607467255715,33172.032823142465
100.0,39.6737328422259,-82.21345234234816,33672.964587118324,39.665336759999576,-82.20975643214048,33107.04237214997
105.0,39.68382163430923,-82.21713390946736,33604.11131788999,39.67542551999958,-82.21343819172381,33042.051921157465
110.0,39.69391042639256,-82.22081547658657,33535.25804866166,39.68551427999958,-82.21711995130714,32977.06147016496
115.0,39.70399921847589,-82.22449704370577,33466.40477943332,39.69560303999958,-82.22080171089047,32912.071019172465
120.0,39.71408801055922,-82.2281786107891,33397.55151020498,39.705691799999585,-82.2244834704738,32847.08056817996
125.0,39.72417680264255,-82.23186017787243,33328.69824097665,39.71578055999959,-82.22816523005713,32782.09011718746
130.0,39.73426559472588,-82.23554174506337,33259.84497174831,39.72586931999959,-82.23184698964046,32717.099666194958
135.0,39.74435438680921,-82.23922331218257,33190.991702519976,39.73595807999959,-82.23552874922379,32652.109215202454
140.0,39.754443178892544,-82.24290487930178,33190.991702519976,39.74604683999959,-82.23921050880712,32587.11876420995
145.0,39.764531970975874,-82.24658644642098,33122.138433291635,39.756135599999595,-82.24289226839045,32522.12831321745
150.0,39.774620763059204,-82.25026801354018,33053.2851640633,39.7662243599996,-82.24657402797378,32457.137862224947
