t,f1_lat,f1_lon,f1_alt_ft
0.0,39.471957,-82.139821,34843.470164
60.0,39.471957,-82.13982100000001,34829.74153776019
120.0,39.53890826470589,-82.1591556764706,34829.74153776019
180.0,39.605859529411674,-82.17849035294105,34829.74153776017
240.0,39.67281079411756,-82.19782502941165,34829.74153776017
300.0,39.739762058823445,-82.21715970588224,34829.74153776017
360.0,39.80671332352933,-82.23649438235283,34829.74153776017
420.0,39.873664588235215,-82.25582905882342,34829.74153776017
480.0,39.9406158529411,-82.27516373529402,34003.50230702017
540.0,40.007567117646985,-82.29449841176461,33177.26307628017
600.0,40.07451838235287,-82.3138330882352,32351.02384554017
660.0,40.141469647058756,-82.33316776470579,31524.784614800166
720.0,40.20842091176464,-82.35250244117638,30698.545384060162
780.0,40.275372176470526,-82.37183711764698,29872.306153320158
840.0,40.34232344117641,-82.39117179411757,29046.066922580154
900.0,40.4092747058823,-82.41050647058816,28219.827691840146
960.0,40.47622597058818,-82.42984114705875,27393.58846110014
1020.0,40.54317723529407,-82.44917582352934,26567.34923036013
1080.0,40.61012849999995,-82.46851049999994,25741.109999620123
1140.0,40.67707976470584,-82.48784517647053,24914.870768880115
1200.0,40.74403102941172,-82.50717985294112,24088.6315381401
1260.0,40.81098229411761,-82.52651452941171,23262.392307400092
1320.0,40.87793355882349,-82.5458492058823,22436.153076660084
1380.0,40.94488482352938,-82.5651838823529,21609.913845920077
1440.0,41.01183608823526,-82.58451855882349,20783.67461518007
1500.0,41.07878735294115,-82.60385323529408,19957.43538444006
1560.0,41.145738617647034,-82.62318791176467,19131.196153700053
1620.0,41.21268988235292,-82.64252258823527,18304.956922960046
1680.0,41.279641147058804,-82.66185726470586,17478.717692220038
1740.0,41.34659241176469,-82.68119194117645,16652.47846148003
1800.0,41.413543676470574,-82.70052661764704,16652.47846148003
1860.0,41.48049494117646,-82.71986129411763,16652.47846148003
1920.0,41.547446205882345,-82.73919597058823,16652.47846148003
1980.0,41.61439747058823,-82.75853064705882,15826.239230740015
2040.0,41.681348735294115,-82.77786532352941,15826.239230740015
2100.0,41.7483,-82.7972,15000.0
