t,f1_lat,f1_lon,f1_alt_ft
0,43.09239653435184,-86.22098350157782,23000.0
60,43.009063201018506,-86.14898350157782,22000.0
120,42.92572986768517,-86.07698350157781,21000.0
180,42.92572986768517,-86.00498350157781,20000.0
240,42.92572986768521,-85.93298350157842,20000.0
300,42.84239653435188,-85.86098350157842,20000.0
360,43.08978166173246,-85.78898350157841,19000.0
420,43.006448328399124,-85.71698350157841,18000.0
480,42.92311499506579,-85.64498350157841,17000.0
540,42.83978166173245,-85.5729835015784,16000.0
600,43.05072986768518,-85.5009835015784,15000.0
660,42.96739653435184,-85.4289835015784,14000.0
720,42.884063201018506,-85.3569835015784,14000.000000999971
780,42.80072986768517,-85.30550000000059,13000.000000999964
840,42.80072986768517,-85.23350000000059,13000.000001999964
900,42.717396534351835,-85.16150000000059,12000.000001999957
960,42.6340632010185,-85.08950000000058,11000.00000199995
1020,42.55072986768516,-85.01750000000058,10000.000001999942
1080,42.46739653435183,-84.94550000000058,10000.000001999942
1140,42.38286666666668,-84.87350000000058,10000.000001999942
1200,42.38286666666668,-84.80150000000057,9999.999997999916
1260,42.29953333333334,-84.72950000000057,10999.999997999923
1320,42.29953333333334,-84.65750000000057,9999.999997999916
1380,42.21620000000001,-84.58550000000056,9999.999997999916
1440,42.13286666666667,-84.51350000000056,9999.999997999916
1500,42.13286666666667,-84.44150000000056,9999.999998999916
1560,42.049533333333336,-84.36950000000056,10000.0
1620,41.9662,-84.29750000000055,11000.0
1680,41.9662,-84.29750000000055,11000.0
1740,41.9662,-84.2975000000006,11000.0
1800,41.9662,-84.2975,11000.0
1860,41.9662,-84.29750000000001,11000.0
1920,41.9662,-84.2975,11000.0
1980,41.9662,-84.29750000000001,11000.0
2040,41.9662,-84.29750000000001,11000.0
2100,41.9662,-84.2975,11000.0
