acId,entry_lat,entry_lon,entry_alt,entry_rectime,exit_lat,exit_lon,exit_alt,exit_rectime
EDV5462_KJFKtoKDTW,42.51528640319841,-80.3691364074183,31897.68559093646,2023-12-22 08:41:40,42.416734123822025,-82.60979691129188,9449.929905761843,2023-12-22 08:57:53
EDV5497_KBHMtoKDTW,40.48611,-85.60306,27000.0,2023-12-22 12:42:33,41.737254758389625,-84.172056423827,20737.774189832857,2023-12-22 12:57:11
EDV5498_KIADtoKDTW,40.67310261772449,-80.78284743956621,30000.0,2023-12-22 18:08:33,41.74966445975105,-82.7968208341787,18539.637218582215,2023-12-22 18:27:07
EDV5522_KMSNtoKDTW,43.22180159193222,-86.17479336238881,29000.0,2023-12-22 12:27:20,42.68894178669337,-83.95711183448128,12902.332733935633,2023-12-22 12:42:23
FDX1418_KMEMtoKDTW,40.39472,-85.56056,35000.0,2023-12-22 05:46:32,41.73744229883414,-84.17606751797372,11383.8002875796,2023-12-22 06:00:55
FDX505_KMEMtoKDTW,40.4975,-85.67639,32900.0,2023-12-22 17:26:08,41.737193218314175,-84.17074992201445,16898.780758782475,2023-12-22 17:40:14
FFT2529_KMCOtoKDTW,39.45813553631476,-82.1689642014037,35000.0,2023-12-22 17:08:43,41.67306274027458,-82.94159452957142,18170.526251870044,2023-12-22 17:29:27
FFT3987_KMCOtoKDTW,39.47175240790911,-82.14025171480814,38615.59306899031,2023-12-21 23:32:31,41.67304312439956,-82.94125214760435,13821.498462618893,2023-12-21 23:53:05
FFT4886_KPHXtoKDTW,40.66556279062902,-85.91943392407536,37000.0,2023-12-22 04:46:32,41.73030511242894,-84.02543165452566,11294.94295776604,2023-12-22 05:01:19
GJS4400_KORDtoKDTW,42.99898987624492,-86.24541713780957,23000.0,2023-12-22 10:01:57,42.689265636674,-83.95660611094019,12244.696751843981,2023-12-22 10:16:31
GJW29LO_CYYZtoKDTW,42.95225280593826,-80.44966189445813,26000.0,2023-12-22 22:26:25,42.50333270759394,-82.7939682288774,7784.712542432931,2023-12-22 22:46:00
JBU1237_KBOStoKDTW,42.728643301578266,-80.40075795334256,32252.54969173528,2023-12-22 22:26:10,42.48515035853145,-82.75520516715837,7086.473998727126,2023-12-22 22:43:28
JIA5446_KDCAtoKDTW,40.69650863073345,-80.76881259892107,18000.0,2023-12-22 23:13:56,41.7515508937862,-82.79629640597395,18000.0,2023-12-22 23:31:06
JZA771_CYYZtoKDTW,43.02658333071338,-80.46830823156361,22000.0,2023-12-22 11:50:32,42.484760282939256,-82.75437417044998,7858.328745772147,2023-12-22 12:09:16
JZA775_CYYZtoKDTW,43.0607490808099,-80.47689299741971,22000.0,2023-12-22 15:25:11,42.503139068359054,-82.7935549303494,7288.16003444138,2023-12-22 15:44:16
JZA777_CYYZtoKDTW,43.04251229690874,-80.4723095530717,22000.0,2023-12-22 21:52:37,42.484697654322474,-82.75424045934355,7899.194750359435,2023-12-22 22:12:31
LN985CL_KALBtoKDTW,42.614828747520555,-80.38386582210703,36000.0,2023-12-22 01:41:59,42.29079582842809,-82.64496334546357,9730.949705685296,2023-12-22 01:58:31
N706NC_KPLNtoKDTW,44.99942652085821,-84.45890211131832,11100.0,2023-12-22 14:28:09,42.76975422835086,-83.36778226780945,4000.0,2023-12-22 15:12:23
NKS1342_KMSPtoKDTW,43.32650163629873,-86.13726900471796,31000.0,2023-12-22 12:48:42,42.687982563510765,-83.9586097159058,11997.331218875217,2023-12-22 13:02:59
NKS1449_KFLLtoKDTW,39.61125077584645,-81.8651578969334,34771.951361293046,2023-12-22 08:14:51,41.74710373191564,-82.79948234326075,19742.226134853743,2023-12-22 08:33:49
NKS1615_KMCOtoKDTW,39.44368474347494,-82.19940587271505,36984.0825456992,2023-12-22 06:55:16,41.673056740866365,-82.94148680426896,12650.861285312842,2023-12-22 07:16:07
NKS1677_KLGAtoKDTW,42.51440867084101,-80.36900690435426,30913.210603268748,2023-12-22 10:59:58,42.416078090853475,-82.60941969784542,9071.90007688964,2023-12-22 11:16:15
NKS173_KLGAtoKDTW,42.514331594037344,-80.36899542944825,32926.12191871304,2023-12-22 18:50:15,42.42113890027161,-82.61913721579283,9661.369272554777,2023-12-22 19:07:09
NKS3347_KLAStoKDTW,42.0439677176828,-86.3450974371217,33000.0,2023-12-22 19:50:03,41.96696245937981,-84.29714746932127,17002.673735691027,2023-12-22 20:02:03
NKS3381_KLGAtoKDTW,42.51441205444099,-80.36900724312108,30810.162021458946,2023-12-22 16:32:39,42.42632394126406,-82.63013633567303,8151.5521118205515,2023-12-22 16:49:47
NKS370_KRSWtoKDTW,39.47175308494507,-82.14025001051786,35501.6614671549,2023-12-22 18:07:25,41.67318468395689,-82.94370884917052,19980.863121201615,2023-12-22 18:26:23
NKS3805_KPHLtoKDTW,40.67249339037035,-80.78321274725057,30000.0,2023-12-22 20:24:09,41.74913321667991,-82.79696924749095,19124.745173732113,2023-12-22 20:39:49
NKS380_KFLLtoKDTW,39.53626370841718,-82.00385253342458,35026.76183958823,2023-12-22 09:34:12,41.74797083714788,-82.79782803040911,15830.821598296194,2023-12-22 09:55:20
NKS3902_KATLtoKDTW,39.39689375178773,-82.32856757995995,34042.42499284907,2023-12-22 15:12:21,41.67313824004185,-82.9429056206678,19789.18344885869,2023-12-22 15:32:40
NKS709_KLAXtoKDTW,42.044236279041314,-86.34511080485642,35000.0,2023-12-22 05:58:26,41.96696512823141,-84.297146240107,12205.982912238931,2023-12-22 06:10:52
NKS734_KLGAtoKDTW,42.514524242286974,-80.36902387826856,30369.913468937037,2023-12-22 22:11:43,42.425150409751865,-82.62764688879972,8677.182485277399,2023-12-22 22:28:36
