recTime,acId,coord1,coord2,alt,groundSpeed,rateOfClimb,d_ts,x,y,z,fuel_flow,fuel_used,CO2_flow,H2O_flow,Soot_flow,SOx_flow,NOx_flow,CO_flow,HC_flow,CO2_emitted,H2O_emitted,Soot_emitted,SOx_emitted,NOx_emitted,CO_emitted,HC_emitted
2023-12-22 01:16:22.000,AAL419_KCLTtoKDTW,40.48361,-81.99889,31300.0,414.0,-2333.0,12.0,114569.39512554104,-191343.7007013773,9540.24,0.07804629288466142,152.6570869910575,246.62628551553007,95.99694024813354,0.0023413887865398426,0.0936555514615937,0.3175851697704607,2.483838343361455,0.25102621555248744,482396.3948917415,187768.2169990006,4.579712609731723,183.18850438926887,1214.237651152821,1488.9559291197259,137.4966703478545
2023-12-22 01:16:34.000,AAL419_KCLTtoKDTW,40.50694,-82.00361,30800.0,429.0,-2115.0,12.0,114130.03010988105,-188755.96397550975,9387.84,0.09938531451226136,153.84971076520463,314.0575938587459,122.24393685008147,0.0029815594353678407,0.11926237741471363,0.4058239768594058,3.1404342734746677,0.31738431487243973,486165.0860180465,189235.14424120157,4.615491322956137,184.61965291824544,1219.1075388751337,1526.6411404014218,141.30528212632376
2023-12-22 01:16:47.000,AAL419_KCLTtoKDTW,40.53028,-82.00889,30400.0,397.0,-1828.0,13.0,113643.58667152729,-186167.8297238723,9265.92,0.09986939288186883,155.14801287266891,315.5872815067055,122.83935324469866,0.0029960817864560646,0.11984327145824258,0.4100966815345268,3.1199507379859925,0.31531417032837156,490267.72067763365,190832.05583338265,4.654440386180066,186.17761544720258,1224.4387957350825,1567.2004999952396,145.4043663405926
2023-12-22 01:16:58.000,AAL419_KCLTtoKDTW,40.55028,-82.01611,30100.0,411.0,-1328.0,11.0,112999.24061591865,-183953.57671618866,9174.48,0.1704350375420112,157.02279828563104,538.5747186327554,209.63509617667378,0.005113051126260336,0.20452204505041344,0.7611995681462597,4.984373856903161,0.5025899607921018,496192.042582594,193138.04189132605,4.71068394856893,188.42735794275714,1232.8119909846914,1622.0286124211743,150.93285590930572
2023-12-22 01:17:10.000,AAL419_KCLTtoKDTW,40.57083,-82.02861,30000.0,411.0,-712.0,12.0,111908.34140528848,-181684.9871727225,9144.0,0.2629610274009896,160.17833061444293,830.9568465871271,323.4420637032172,0.007888830822029687,0.3155532328811875,1.60734714455248,5.37906201864244,0.533616264950198,506163.5247416395,197019.34665576465,4.8053499184332855,192.2139967373314,1252.1001567193211,1686.5773566448836,157.33625108870808
2023-12-22 01:17:23.000,AAL419_KCLTtoKDTW,40.58944,-82.04333,30000.0,364.0,-167.0,13.0,110633.87615804528,-179634.79584660887,9144.0,0.3238547832914932,164.38844279723233,1023.3811152011185,398.34138344853665,0.009715643498744795,0.3886257399497918,2.3097877273085308,4.875099405792264,0.474292812170035,519467.479239254,202197.7846405956,4.931653283916968,197.2661313566787,1282.1273971743321,1749.953648920183,163.50205764691853
2023-12-22 01:17:34.000,AAL419_KCLTtoKDTW,40.60667,-82.05778,30000.0,405.0,0.0,11.0,109385.17644965612,-177737.4825672804,9144.0,0.3787490100722678,168.55468190802728,1196.8468718283661,465.8612823888894,0.011362470302168033,0.4544988120867213,3.0915645214163656,3.620696416589471,0.3367280099136168,532632.794829366,207322.25874687338,5.056640457240817,202.26561828963264,1316.1346069099122,1789.7813095026672,167.20606575596832
2023-12-22 01:17:47.000,AAL419_KCLTtoKDTW,40.62694,-82.07417,30000.0,399.0,0.0,13.0,107968.40168848801,-175504.38147097634,9144.0,0.3743748878830017,173.4215554505063,1183.0246457102853,460.4811120960921,0.011231246636490052,0.44924986545960205,3.0230655205825694,3.756339117478469,0.3514415934151518,548012.1152235997,213308.51320412257,5.202646663515187,208.10586654060748,1355.4344586774857,1838.6137180298874,171.7748064703653
2023-12-22 01:17:58.000,AAL419_KCLTtoKDTW,40.64556,-82.08889,30000.0,430.0,0.0,11.0,106696.02558176946,-173452.40308163426,9144.0,0.4004315128258573,177.82630209159075,1265.3635805297092,492.5307607758045,0.012012945384775719,0.4805178153910288,3.441273839947102,2.8898817522284683,0.25768759406053426,561931.1146094265,218726.35157265642,5.334789062747721,213.3915625099088,1393.2884709169039,1870.4024173044006,174.60937000503117
2023-12-22 01:18:11.000,AAL419_KCLTtoKDTW,40.665,-82.10417,30000.0,380.0,0.0,13.0,105375.79549723607,-171309.71767468296,9144.0,0.36287841325959974,182.54372146396554,1146.6957859003353,446.3404483093077,0.010886352397787992,0.4354540959115197,2.845614048431869,4.098018851112754,0.3885710320695555,576838.1598261308,224528.7774006774,5.476311643918964,219.05246575675855,1430.2814535465182,1923.6766623688663,179.66079342193538
2023-12-22 01:18:22.000,AAL419_KCLTtoKDTW,40.68306,-82.11833,30000.0,417.0,0.0,11.0,104152.93312794191,-169318.88332358544,9144.0,0.3883893768867455,186.81600460971973,1227.3104309621158,477.718933570697,0.011651681306602366,0.4660672522640946,3.244958213320451,3.307765535329873,0.30283936899523956,590338.5745667141,229783.68566995507,5.60448013829159,224.1792055316636,1465.975993893043,1960.062083257495,182.99202648088303
2023-12-22 01:18:35.000,AAL419_KCLTtoKDTW,40.70361,-82.13444,30000.0,401.0,0.0,13.0,102762.44707885403,-167053.31720094447,9144.0,0.3757022732413875,191.70013416185776,1187.2191834427845,462.11379608690663,0.011271068197241624,0.45084272788966495,3.043866334995305,3.7150612464147885,0.34696369039717667,605772.4239514703,235791.16501908484,5.751004024855732,230.04016099422924,1505.546256247982,2008.3578794608873,187.5025544560463
2023-12-22 01:18:47.000,AAL419_KCLTtoKDTW,40.72278,-82.14944,30000.0,405.0,0.0,12.0,101468.46223098815,-164939.62292733698,9144.0,0.37862262601168506,196.243605673998,1196.4474981969247,465.7058299943726,0.011358678780350552,0.454347151214022,3.089682812738929,3.62400512029396,0.3370883452643812,620129.7939298333,241379.6349790173,5.887308170219939,235.49232680879751,1542.622450000849,2051.845940904415,191.5476145992189
2023-12-22 01:18:59.000,AAL419_KCLTtoKDTW,40.74194,-82.16444,30000.0,405.0,0.0,12.0,100175.21772649002,-162826.81449187707,9144.0,0.37860160778228097,200.78682496738537,1196.381080592008,465.6799775722056,0.01135804823346843,0.45432192933873716,3.089369931284701,3.6245550799413917,0.33714824002573995,634486.3668969375,246967.79470988378,6.02360474902156,240.94418996086236,1579.6948891762654,2095.3406018637115,195.59339347952778
2023-12-22 01:19:10.000,AAL419_KCLTtoKDTW,40.75972,-82.17861,30000.0,412.0,-667.0,11.0,98954.67961432686,-160866.2669790789,9144.0,0.2710804191134328,203.76870957763313,856.6141243984475,333.4289155095223,0.008132412573402983,0.32529650293611934,1.6964655018559966,5.335195920540291,0.5281167977468251,643909.1222653204,250635.51278048853,6.113061287328993,244.52245149315968,1598.3560096966814,2154.027756989655,201.40267825474285
2023-12-22 01:19:22.000,AAL419_KCLTtoKDTW,40.77861,-82.19361,29600.0,401.0,-1436.0,12.0,97663.24028049996,-158783.04036889048,9022.08,0.14787483983099622,205.54320765560507,467.2844938659481,181.88605299212534,0.004436245194929887,0.17744980779719546,0.6113596811952106,4.55562380046337,0.4604087883447023,649516.5361917118,252818.14541639402,6.166296229668151,246.65184918672603,1605.692325871024,2208.6952425952154,206.9275837148793
