t,f_lat,f_lon,f_alt_ft
0,41.87180481222802,-86.33200477447754,35000.0
300,42.121804812227985,-85.97200477447754,30000.0
600,41.80995000000008,-85.62769167766787,25000.0
900,42.12245000000008,-85.26769167766787,20000.0
1200,42.12245000000008,-85.0175,15000.0
1500,42.12245000000008,-84.6575,15000.0
1800,41.96620000000008,-84.2975,11000.0
