t,f_lat,f_lon,f_alt_ft
0,43.05,-83.85,30000.0
60,42.95472003287504,-83.85942513774263,29000.0
120,42.73740177417444,-83.89489999999932,28000.0
180,42.56058949649139,-83.94216250007779,27000.0
240,42.55989999999292,-83.94272500007779,26000.0
300,42.46030047414439,-83.97872500007779,25000.0
360,42.21143531805268,-84.0439750000778,24000.0
420,42.079705911486975,-84.0799875,23000.0
480,41.987500000000104,-84.1053,22000.0
540,41.737500000000104,-84.1773,21000.0
