recTime,acId,coord1,coord2,alt,groundSpeed,rateOfClimb,d_ts,x,y,z,fuel_flow,fuel_used,CO2_flow,H2O_flow,Soot_flow,SOx_flow,NOx_flow,CO_flow,HC_flow,CO2_emitted,H2O_emitted,Soot_emitted,SOx_emitted,NOx_emitted,CO_emitted,HC_emitted
2023-12-22 04:41:55,DAL1296_KDENtoKDTW,42.49667,-86.2125,34700.0,481.0,-808.0,12.0,-234362.73193251636,35534.060793446384,10576.560000000001,0.39175739451328323,28.565918185682925,1237.953366661975,481.8615952513384,0.011752721835398496,0.4701088734159399,3.383426520677182,2.0663569302228564,0.1681397293830403,90268.30146675804,35136.07936839,0.8569775455704878,34.27910182281951,284.5261144132481,89.1968773963724,6.385798131704946
2023-12-22 04:42:07,DAL1296_KDENtoKDTW,42.49333,-86.17417,34500.0,515.0,-823.0,12.0,-231234.2813221038,35057.95564586815,10515.6,0.4428206191976508,33.87976561605473,1399.3131566645766,544.6693616131105,0.013284618575929524,0.531384743037181,4.181036329651207,1.2567566990212098,0.08076510161362177,107060.05934673296,41672.111707747325,1.0163929684816422,40.65571873926569,334.69855036906256,104.27795778462692,7.354979351068407
2023-12-22 04:42:20,DAL1296_KDENtoKDTW,42.49,-86.13806,34300.0,448.0,-974.0,13.0,-228287.34293212794,34590.32244316788,10454.640000000001,0.3214935214389197,38.05918139476069,1015.9195277469862,395.4370313698712,0.00964480564316759,0.38579222572670363,2.3368366339813127,4.431867188998977,0.42481244709514543,120267.01320744379,46812.79311555565,1.1417754418428208,45.67101767371283,365.0774266108196,161.89223124161362,12.877541163305299
2023-12-22 04:42:31,DAL1296_KDENtoKDTW,42.48722,-86.10528,34200.0,481.0,-974.0,11.0,-225610.98268300827,34193.89813225734,10424.16,0.3664819618850682,42.09048297549644,1158.0829995568156,450.7728131186339,0.010994458856552047,0.43977835426208184,2.989781622588719,3.0672595289361424,0.276412525831676,133005.92620256875,51771.29405986062,1.2627144892648934,50.508579570595735,397.9650244592955,195.6320860599112,15.918078947453736
2023-12-22 04:42:43,DAL1296_KDENtoKDTW,42.48389,-86.06944,34000.0,482.0,-974.0,12.0,-222685.50580883588,33729.356168593404,10363.2,0.3698866313456127,46.529122551643795,1168.8417550521363,454.96055655510366,0.011096598940368381,0.44386395761473524,3.0402423887605003,2.9802592364654914,0.2670560055215909,147032.02726319438,57230.82073852186,1.395873676549314,55.83494706197256,434.44793312442147,231.3951968974971,19.12275101371283
2023-12-22 04:42:55,DAL1296_KDENtoKDTW,42.48083,-86.03278,33800.0,493.0,-1000.0,12.0,-219691.5174600424,33293.9427608377,10302.24,0.38432094962691177,51.140973947166735,1214.4542008210412,472.7147680411015,0.011529628488807352,0.4611851395522941,3.269376495688246,2.4450654313302427,0.20939270306697402,161605.47767304687,62903.39795501508,1.5342292184150024,61.36916873660009,473.6804510726804,260.73598207346004,21.635463450516518
2023-12-22 04:43:07,DAL1296_KDENtoKDTW,42.4775,-85.99667,33600.0,486.0,-1000.0,12.0,-216743.212177967,32831.20488386037,10241.28,0.3753797093261077,55.64553045908003,1186.1998814705003,461.71704247111245,0.01126139127978323,0.45045565119132924,3.1238422960028305,2.8368987975969815,0.2517000905623045,175839.87625069288,68444.00246466843,1.669365913772401,66.77463655089603,511.16655862471436,294.7787676446238,24.655864537264172
2023-12-22 04:43:18,DAL1296_KDENtoKDTW,42.47472,-85.96417,33400.0,477.0,-974.0,11.0,-214088.61141407094,32439.92983801735,10180.32,0.36820240694248374,59.69575693544735,1163.5196059382486,452.888960539255,0.011046072208274511,0.44184288833098045,3.0069404894924303,3.1530437271909513,0.2858761141803736,188638.59191601363,73425.78103060024,1.7908727080634206,71.63490832253682,544.242904009131,329.4622486437243,27.80050179324828
2023-12-22 04:43:30,DAL1296_KDENtoKDTW,42.47139,-85.92778,33300.0,490.0,-1005.0,12.0,-211116.6889255178,31978.873617694502,10149.84,0.3840705225373669,64.30460320589575,1213.6628512180794,472.4067427209613,0.011522115676121006,0.46088462704484023,3.258954076107789,2.562810851862174,0.2222008095721276,203202.54613063057,79094.66194325178,1.9291380961768727,77.1655238470749,583.3503529224245,360.2159788660704,30.46691150811381
2023-12-22 04:43:43,DAL1296_KDENtoKDTW,42.46806,-85.89,33100.0,469.0,-1005.0,13.0,-208030.44807012824,31515.690011767645,10088.880000000001,0.35338735244498953,68.89863878768061,1116.704033726167,434.66644350733714,0.010601620573349686,0.42406482293398745,2.7821668319979516,3.6708618244216416,0.34212807175702387,217719.69856907072,84745.32570884716,2.0669591636304188,82.67836654521673,619.5185217383978,407.9371825835517,34.91457644095512
