t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft,f3_lat,f3_lon,f3_alt_ft,f4_lat,f4_lon,f4_alt_ft,f5_lat,f5_lon,f5_alt_ft,f6_lat,f6_lon,f6_alt_ft,f7_lat,f7_lon,f7_alt_ft,f8_lat,f8_lon,f8_alt_ft,f9_lat,f9_lon,f9_alt_ft,f10_lat,f10_lon,f10_alt_ft
7800,41.91829999999994,-84.02169999999991,8000.0,41.673,-82.94049999999984,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,40.50556,-85.62667,31900.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
8400,41.9183,-84.0217,8000.0,41.673,-82.9405,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,40.50556,-85.62667,31900.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
9000,41.91829999999991,-84.02169999999987,8000.0,41.673,-82.94049999999983,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,40.50556,-85.62667,31900.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
9600,41.9183,-84.0217,8000.0,41.673,-82.9405,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,40.50556,-85.62667,31900.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
10200,41.91829999999989,-84.02169999999983,8000.0,41.673,-82.94049999999974,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,40.50556,-85.62667,31900.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
10800,41.9183,-84.0217,8000.0,41.673,-82.9405,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,40.50556,-85.62667,31900.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
11400,41.91829999999984,-84.02169999999981,8000.0,41.673,-82.94049999999973,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,40.50556,-85.0081675,21900.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
12000,41.9183,-84.0217,8000.0,41.673,-82.9405,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,41.12271503716627,-84.32200000000002,27000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
12600,41.918299999999846,-84.0216999999998,8000.0,41.673,-82.94049999999967,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,42.915,-83.60199999999992,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
13200,41.9183,-84.0217,8000.0,41.673,-82.9405,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,42.915,-83.602,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
13800,41.91829999999982,-84.02169999999975,8000.0,41.673,-82.94049999999966,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,42.915,-83.60199999999992,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
14400,41.9183,-84.0217,8000.0,41.673,-82.9405,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,42.915,-83.602,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
15000,41.91829999999978,-84.02169999999968,8000.0,41.673,-82.9404999999996,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,42.915,-83.60199999999989,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
15600,41.9183,-84.0217,8000.0,41.673,-82.9405,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,42.915,-83.602,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
16200,41.91829999999971,-84.02169999999967,8000.0,41.673,-82.94049999999957,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,42.915,-83.60199999999985,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
16800,41.9183,-84.0217,8000.0,41.673,-82.9405,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,42.915,-83.602,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
17400,41.918299999999626,-84.02169999999961,8000.0,41.673,-82.94049999999955,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,42.915,-83.60199999999983,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
