t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft,f3_lat,f3_lon,f3_alt_ft,f4_lat,f4_lon,f4_alt_ft,f5_lat,f5_lon,f5_alt_ft,f6_lat,f6_lon,f6_alt_ft,f7_lat,f7_lon,f7_alt_ft,f8_lat,f8_lon,f8_alt_ft,f9_lat,f9_lon,f9_alt_ft,f10_lat,f10_lon,f10_alt_ft,f11_lat,f11_lon,f11_alt_ft,f12_lat,f12_lon,f12_alt_ft,f13_lat,f13_lon,f13_alt_ft,f14_lat,f14_lon,f14_alt_ft,f15_lat,f15_lon,f15_alt_ft
0,40.48861,-85.68722,29900.0,42.980072111706384,-86.25016320267274,25000.0,42.50731322223179,-86.33884182906013,35000.0,39.32131356227871,-82.56420521611844,35000.0,42.0440283617466,-86.34510052157984,33000.0,40.49639,-85.71833,29200.0,40.50556,-85.62667,31900.0,42.7282196987536,-80.40069500358332,30052.975753445065,42.044216032458486,-86.3451097215448,27409.124876052483,39.47299397976529,-82.13763238466804,31000.0,40.49556,-85.78861,35000.0,44.475,-85.27833,21000.0,41.77142718555955,-86.31708958885297,21000.0,43.02658333071338,-80.46830823156361,22000.0,42.51441205444099,-80.36900724312108,30810.162021458946
600,40.48861,-85.68722,29900.0,42.980072111706384,-86.25016320267274,25000.0,42.50731322223179,-85.69300318589752,25000.0,39.32131356227871,-82.56420521611844,35000.0,42.0440283617466,-86.34510052157984,33000.0,40.49639,-85.71833,29200.0,40.50556,-85.62667,31900.0,42.7282196987536,-80.40069500358332,30052.975753445065,42.044216032458486,-86.3451097215448,27409.124876052483,39.47299397976529,-82.13763238466804,31000.0,40.49556,-85.78861,35000.0,44.475,-85.27833,21000.0,41.77142718555955,-86.31708958885297,21000.0,43.02658333071338,-80.46830823156361,22000.0,42.51441205444099,-80.36900724312108,30810.162021458946
1200,40.48861,-85.68722,29900.0,42.980072111706384,-86.25016320267274,25000.0,42.36866053928895,-85.0175,15000.0,39.32131356227871,-82.56420521611844,35000.0,42.0440283617466,-86.34510052157984,33000.0,40.49639,-85.71833,29200.0,40.50556,-85.62667,31900.0,42.7282196987536,-80.40069500358332,30052.975753445065,42.044216032458486,-86.3451097215448,27409.124876052483,39.47299397976529,-82.13763238466804,31000.0,40.49556,-85.78861,35000.0,44.475,-85.27833,21000.0,41.77142718555955,-86.31708958885297,21000.0,43.02658333071338,-80.46830823156361,22000.0,42.51441205444099,-80.36900724312108,30810.162021458946
1800,40.48861,-85.68722,29900.0,42.980072111706384,-86.25016320267274,25000.0,41.9662,-84.2975,11000.0,39.32131356227871,-82.56420521611844,35000.0,42.0440283617466,-86.34510052157984,33000.0,40.49639,-85.71833,29200.0,40.50556,-85.62667,31900.0,42.7282196987536,-80.40069500358332,30052.975753445065,42.044216032458486,-86.3451097215448,27409.124876052483,39.47299397976529,-82.13763238466804,31000.0,40.49556,-85.78861,35000.0,44.475,-85.27833,21000.0,41.77142718555955,-86.31708958885297,21000.0,43.02658333071338,-80.46830823156361,22000.0,42.51441205444099,-80.36900724312108,30810.162021458946
2400,40.48861,-85.68722,29900.0,42.980072111706384,-86.25016320267274,25000.0,41.9662,-84.2975,11000.0,39.32131356227871,-82.56420521611844,35000.0,42.0440283617466,-86.34510052157984,33000.0,40.49639,-85.71833,29200.0,40.50556,-85.62667,31900.0,42.7282196987536,-80.40069500358332,30052.975753445065,42.044216032458486,-86.3451097215448,27409.124876052483,39.47299397976529,-82.13763238466804,31000.0,40.49556,-85.78861,35000.0,44.475,-85.27833,21000.0,41.77142718555955,-86.31708958885297,21000.0,43.02658333071338,-80.46830823156361,22000.0,42.51441205444099,-80.36900724312108,30810.162021458946
3000,40.48861,-85.68722,29900.0,42.980072111706384,-86.25016320267274,25000.0,41.96619999999994,-84.2975,11000.0,39.32131356227871,-82.56420521611844,35000.0,42.0440283617466,-86.34510052157984,33000.0,40.49639,-85.71833,29200.0,40.50556,-85.62667,31900.0,42.7282196987536,-80.40069500358332,30052.975753445065,42.044216032458486,-86.3451097215448,27409.124876052483,39.47299397976529,-82.13763238466804,31000.0,40.49556,-85.78861,35000.0,44.475,-85.27833,21000.0,41.77142718555955,-86.31708958885297,21000.0,43.02658333071338,-80.46830823156361,22000.0,42.51441205444099,-80.36900724312108,30810.162021458946
3600,40.48861,-85.68722,29900.0,42.980072111706384,-86.25016320267274,25000.0,41.9662,-84.2975,11000.0,39.32131356227871,-82.56420521611844,35000.0,42.0440283617466,-86.34510052157984,33000.0,40.49639,-85.71833,29200.0,40.50556,-85.62667,31900.0,42.7282196987536,-80.40069500358332,30052.975753445065,42.044216032458486,-86.3451097215448,27409.124876052483,39.47299397976529,-82.13763238466804,31000.0,40.49556,-85.78861,35000.0,44.475,-85.27833,21000.0,41.77142718555955,-86.31708958885297,21000.0,43.02658333071338,-80.46830823156361,22000.0,42.51441205444099,-80.36900724312108,30810.162021458946
4200,40.48861,-85.68722,29900.0,42.980072111706384,-86.25016320267274,25000.0,41.9661999999999,-84.2975,11000.0,39.32131356227871,-82.56420521611844,35000.0,42.0440283617466,-86.34510052157984,33000.0,40.49639,-85.71833,29200.0,40.50556,-85.62667,31900.0,42.7282196987536,-80.40069500358332,30052.975753445065,42.044216032458486,-86.3451097215448,27409.124876052483,39.47299397976529,-82.13763238466804,31000.0,40.49556,-85.78861,35000.0,44.475,-85.27833,21000.0,41.77142718555955,-86.31708958885297,21000.0,43.02658333071338,-80.46830823156361,22000.0,42.51441205444099,-80.36900724312108,30810.162021458946
4800,40.48861,-85.68722,29900.0,42.980072111706384,-86.25016320267274,25000.0,41.9662,-84.2975,11000.0,39.32131356227871,-82.56420521611844,35000.0,42.0440283617466,-86.34510052157984,33000.0,40.49639,-85.71833,29200.0,40.50556,-85.62667,31900.0,42.7282196987536,-80.40069500358332,30052.975753445065,42.044216032458486,-86.3451097215448,27409.124876052483,39.47299397976529,-82.13763238466804,31000.0,40.49556,-85.78861,35000.0,44.475,-85.27833,21000.0,41.77142718555955,-86.31708958885297,21000.0,43.02658333071338,-80.46830823156361,22000.0,42.51441205444099,-80.36900724312108,30810.162021458946
5400,40.48861,-85.68722,29900.0,42.980072111706384,-86.25016320267274,25000.0,41.96619999999988,-84.2975,11000.0,39.32131356227871,-82.56420521611844,35000.0,42.0440283617466,-86.34510052157984,33000.0,40.49639,-85.71833,29200.0,40.50556,-85.62667,31900.0,42.7282196987536,-80.40069500358332,30052.975753445065,42.044216032458486,-86.3451097215448,27409.124876052483,39.47299397976529,-82.13763238466804,31000.0,40.49556,-85.78861,35000.0,44.475,-85.27833,21000.0,41.77142718555955,-86.31708958885297,21000.0,43.02658333071338,-80.46830823156361,22000.0,42.51441205444099,-80.36900724312108,30810.162021458946
