t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft,f3_lat,f3_lon,f3_alt_ft,f4_lat,f4_lon,f4_alt_ft,f5_lat,f5_lon,f5_alt_ft,f6_lat,f6_lon,f6_alt_ft,f7_lat,f7_lon,f7_alt_ft,f8_lat,f8_lon,f8_alt_ft,f9_lat,f9_lon,f9_alt_ft,f10_lat,f10_lon,f10_alt_ft,f11_lat,f11_lon,f11_alt_ft,f12_lat,f12_lon,f12_alt_ft,f13_lat,f13_lon,f13_alt_ft,f14_lat,f14_lon,f14_alt_ft,f15_lat,f15_lon,f15_alt_ft,f16_lat,f16_lon,f16_alt_ft,f17_lat,f17_lon,f17_alt_ft,f18_lat,f18_lon,f18_alt_ft,f19_lat,f19_lon,f19_alt_ft,f20_lat,f20_lon,f20_alt_ft
0,39.4128779144852,-82.28383496039737,35000.0,43.57889,-84.0075,3000.0,40.49639,-85.71833,29200.0,39.6369957589119,-81.82224888730305,34000.0,43.080485356324296,-80.48185539415572,30114.73089865459,42.09997516767139,-86.34785041384998,29000.0,43.39059666150893,-86.1108835941761,33000.0,39.39689375178773,-82.32856757995995,34042.42499284907,40.48861,-85.68722,29900.0,43.08032722672895,-80.48181640487574,29842.935951242613,42.980072111706384,-86.25016320267274,25000.0,39.48377856415442,-82.11487060432266,33000.0,39.44368474347494,-82.19940587271505,36984.0825456992,43.294074706420055,-86.14890431129369,33000.0,39.61125077584645,-81.8651578969334,34771.951361293046,40.49139,-85.68306,31000.0,43.24013978792364,-86.16823008432762,33000.0,40.49556,-85.78861,35000.0,40.67293769914379,-80.78294659688842,28000.0,43.61426973431964,-86.00506369438156,25000.0
600,39.4128779144852,-82.28383496039737,35000.0,43.57889,-84.0075,3000.0,40.49639,-85.71833,29200.0,39.63739897270504,-82.2205,24000.0,43.080485356324296,-80.48185539415572,30114.73089865459,42.09997516767139,-86.34785041384998,29000.0,43.39059666150893,-86.1108835941761,33000.0,39.39689375178773,-82.32856757995995,34042.42499284907,40.48861,-85.68722,29900.0,43.08032722672895,-80.48181640487574,29842.935951242613,42.980072111706384,-86.25016320267274,25000.0,39.48377856415442,-82.11487060432266,33000.0,39.44368474347494,-82.19940587271505,36984.0825456992,43.294074706420055,-86.14890431129369,33000.0,39.61125077584645,-81.8651578969334,34771.951361293046,40.49139,-85.68306,31000.0,43.24013978792364,-86.16823008432762,33000.0,40.49556,-85.78861,35000.0,40.67293769914379,-80.78294659688842,28000.0,43.61426973431964,-86.00506369438156,25000.0
1200,39.4128779144852,-82.28383496039737,35000.0,43.57889,-84.0075,3000.0,40.49639,-85.71833,29200.0,41.673,-82.9405,14000.0,43.080485356324296,-80.48185539415572,30114.73089865459,42.09997516767139,-86.34785041384998,29000.0,43.39059666150893,-86.1108835941761,33000.0,39.39689375178773,-82.32856757995995,34042.42499284907,40.48861,-85.68722,29900.0,43.08032722672895,-80.48181640487574,29842.935951242613,42.980072111706384,-86.25016320267274,25000.0,39.48377856415442,-82.11487060432266,33000.0,39.44368474347494,-82.19940587271505,36984.0825456992,43.294074706420055,-86.14890431129369,33000.0,39.61125077584645,-81.8651578969334,34771.951361293046,40.49139,-85.68306,31000.0,43.24013978792364,-86.16823008432762,33000.0,40.49556,-85.78861,35000.0,40.67293769914379,-80.78294659688842,28000.0,43.61426973431964,-86.00506369438156,25000.0
1800,39.4128779144852,-82.28383496039737,35000.0,43.57889,-84.0075,3000.0,40.49639,-85.71833,29200.0,41.673,-82.94049999999994,14000.0,43.080485356324296,-80.48185539415572,30114.73089865459,42.09997516767139,-86.34785041384998,29000.0,43.39059666150893,-86.1108835941761,33000.0,39.39689375178773,-82.32856757995995,34042.42499284907,40.48861,-85.68722,29900.0,43.08032722672895,-80.48181640487574,29842.935951242613,42.980072111706384,-86.25016320267274,25000.0,39.48377856415442,-82.11487060432266,33000.0,39.44368474347494,-82.19940587271505,36984.0825456992,43.294074706420055,-86.14890431129369,33000.0,39.61125077584645,-81.8651578969334,34771.951361293046,40.49139,-85.68306,31000.0,43.24013978792364,-86.16823008432762,33000.0,40.49556,-85.78861,35000.0,40.67293769914379,-80.78294659688842,28000.0,43.61426973431964,-86.00506369438156,25000.0
2400,39.4128779144852,-82.28383496039737,35000.0,43.57889,-84.0075,3000.0,40.49639,-85.71833,29200.0,41.673,-82.9405,14000.0,43.080485356324296,-80.48185539415572,30114.73089865459,42.09997516767139,-86.34785041384998,29000.0,43.39059666150893,-86.1108835941761,33000.0,39.39689375178773,-82.32856757995995,34042.42499284907,40.48861,-85.68722,29900.0,43.08032722672895,-80.48181640487574,29842.935951242613,42.980072111706384,-86.25016320267274,25000.0,39.48377856415442,-82.11487060432266,33000.0,39.44368474347494,-82.19940587271505,36984.0825456992,43.294074706420055,-86.14890431129369,33000.0,39.61125077584645,-81.8651578969334,34771.951361293046,40.49139,-85.68306,31000.0,43.24013978792364,-86.16823008432762,33000.0,40.49556,-85.78861,35000.0,40.67293769914379,-80.78294659688842,28000.0,43.61426973431964,-86.00506369438156,25000.0
3000,39.4128779144852,-82.28383496039737,35000.0,43.57889,-84.0075,3000.0,40.49639,-85.71833,29200.0,41.673,-82.9404999999999,14000.0,43.080485356324296,-80.48185539415572,30114.73089865459,42.09997516767139,-86.34785041384998,29000.0,43.39059666150893,-86.1108835941761,33000.0,39.39689375178773,-82.32856757995995,34042.42499284907,40.48861,-85.68722,29900.0,43.08032722672895,-80.48181640487574,29842.935951242613,42.980072111706384,-86.25016320267274,25000.0,39.48377856415442,-82.11487060432266,33000.0,39.44368474347494,-82.19940587271505,36984.0825456992,43.294074706420055,-86.14890431129369,33000.0,39.61125077584645,-81.8651578969334,34771.951361293046,40.49139,-85.68306,31000.0,43.24013978792364,-86.16823008432762,33000.0,40.49556,-85.78861,35000.0,40.67293769914379,-80.78294659688842,28000.0,43.61426973431964,-86.00506369438156,25000.0
3600,39.4128779144852,-82.28383496039737,35000.0,43.57889,-84.0075,3000.0,40.49639,-85.71833,29200.0,41.673,-82.9405,14000.0,43.080485356324296,-80.48185539415572,30114.73089865459,42.09997516767139,-86.34785041384998,29000.0,43.39059666150893,-86.1108835941761,33000.0,39.39689375178773,-82.32856757995995,34042.42499284907,40.48861,-85.68722,29900.0,43.08032722672895,-80.48181640487574,29842.935951242613,42.980072111706384,-86.25016320267274,25000.0,39.48377856415442,-82.11487060432266,33000.0,39.44368474347494,-82.19940587271505,36984.0825456992,43.294074706420055,-86.14890431129369,33000.0,39.61125077584645,-81.8651578969334,34771.951361293046,40.49139,-85.68306,31000.0,43.24013978792364,-86.16823008432762,33000.0,40.49556,-85.78861,35000.0,40.67293769914379,-80.78294659688842,28000.0,43.61426973431964,-86.00506369438156,25000.0
4200,39.4128779144852,-82.28383496039737,35000.0,43.57889,-84.0075,3000.0,40.49639,-85.71833,29200.0,41.673,-82.9404999999999,14000.0,43.080485356324296,-80.48185539415572,30114.73089865459,42.09997516767139,-86.34785041384998,29000.0,43.39059666150893,-86.1108835941761,33000.0,39.39689375178773,-82.32856757995995,34042.42499284907,40.48861,-85.68722,29900.0,43.08032722672895,-80.48181640487574,29842.935951242613,42.980072111706384,-86.25016320267274,25000.0,39.48377856415442,-82.11487060432266,33000.0,39.44368474347494,-82.19940587271505,36984.0825456992,43.294074706420055,-86.14890431129369,33000.0,39.61125077584645,-81.8651578969334,34771.951361293046,40.49139,-85.68306,31000.0,43.24013978792364,-86.16823008432762,33000.0,40.49556,-85.78861,35000.0,40.67293769914379,-80.78294659688842,28000.0,43.61426973431964,-86.00506369438156,25000.0
4800,39.4128779144852,-82.28383496039737,35000.0,43.57889,-84.0075,3000.0,40.49639,-85.71833,29200.0,41.673,-82.9405,14000.0,43.080485356324296,-80.48185539415572,30114.73089865459,42.09997516767139,-86.34785041384998,29000.0,43.39059666150893,-86.1108835941761,33000.0,39.39689375178773,-82.32856757995995,34042.42499284907,40.48861,-85.68722,29900.0,43.08032722672895,-80.48181640487574,29842.935951242613,42.980072111706384,-86.25016320267274,25000.0,39.48377856415442,-82.11487060432266,33000.0,39.44368474347494,-82.19940587271505,36984.0825456992,43.294074706420055,-86.14890431129369,33000.0,39.61125077584645,-81.8651578969334,34771.951361293046,40.49139,-85.68306,31000.0,43.24013978792364,-86.16823008432762,33000.0,40.49556,-85.78861,35000.0,40.67293769914379,-80.78294659688842,28000.0,43.61426973431964,-86.00506369438156,25000.0
5400,39.4128779144852,-82.28383496039737,35000.0,43.57889,-84.0075,3000.0,40.49639,-85.71833,29200.0,41.673,-82.94049999999987,14000.0,43.080485356324296,-80.48185539415572,30114.73089865459,42.09997516767139,-86.34785041384998,29000.0,43.39059666150893,-86.1108835941761,33000.0,39.39689375178773,-82.32856757995995,34042.42499284907,40.48861,-85.68722,29900.0,43.08032722672895,-80.48181640487574,29842.935951242613,42.980072111706384,-86.25016320267274,25000.0,39.48377856415442,-82.11487060432266,33000.0,39.44368474347494,-82.19940587271505,36984.0825456992,43.294074706420055,-86.14890431129369,33000.0,39.61125077584645,-81.8651578969334,34771.951361293046,40.49139,-85.68306,31000.0,43.24013978792364,-86.16823008432762,33000.0,40.49556,-85.78861,35000.0,40.67293769914379,-80.78294659688842,28000.0,43.61426973431964,-86.00506369438156,25000.0
