t,f2_lat,f2_lon,f2_alt_ft
0,40.86920257296341,-80.6742174694934,36000.0
300,41.05679543537278,-80.97798810212001,35000.0
600,41.05679543537278,-81.30987341843331,30000.0
900,41.17912437754452,-81.64175873474665,25000.0
1200,41.38533226898171,-81.88929999999996,20000.0
1500,41.79533576812141,-82.24929999999996,15000.0
1800,42.4165,-82.60929999999996,10000.0
