ident,lat,lon,waypoint_class,area_code,record_type,section_code,subsection_code,airport_or_enroute,coord_raw,raw_record,line_number
EJUDA,41.62583333333333,-86.55010833333333,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N41373300W086330039,SUSAEAENRT   EJUDA K50    W     N41373300W086330039                       W0049     NAR           EJUDA                    339882304,33993
EKLLR,40.54210833333333,-84.82201111111111,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KCQA,N40323159W084491924,SUSAP KCQAK5CEKLLR K50    W     N40323159W084491924                       W0060     NAR           EKLLR                    561002201,156104
EKOYE,42.038358333333335,-79.83159722222221,TERMINAL_WAYPOINT,USA,SUSAP,P,C,8G2,N42021809W079495375,SUSAP 8G2 K6CEKOYE K60    W     N42021809W079495375                       W0096     NAR           EKOYE                    028392304,102843
EKQOR,40.388597222222224,-85.87443611111111,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KOKK,N40231895W085522797,SUSAP KOKKK5CEKQOR K50    W     N40231895W085522797                       W0053     NAR           EKQOR                    736372403,273640
EKUME,41.403425,-81.55097222222221,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KCLE,N41241233W081330350,SUSAP KCLEK5CEKUME K50    W     N41241233W081330350                       W0084     NAR           EKUME                    500702008,150074
EKYOR,42.216122222222225,-85.69667222222223,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N42125804W085414802,SUSAEAENRT   EKYOR K50    W     N42125804W085414802                       W0056     NAR           EKYOR                    340102201,34015
ELARE,43.96483333333334,-83.0552861111111,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KBAX,N43575340W083031903,SUSAP KBAXK5CELARE K50    W     N43575340W083031903                       W0078     NAR           ELARE                    294482008,129452
ELEGE,40.94773333333333,-80.63702500000001,TERMINAL_WAYPOINT,USA,SUSAP,P,C,38D,N40565184W080381329,SUSAP 38D K5CELEGE K50    W     N40565184W080381329                       W0089     NAR           ELEGE                    889582203,88963
ELEOT,41.34338888888889,-83.30171944444444,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N41203620W083180619,SUSAEAENRT   ELEOT K50    W     N41203620W083180619                       W0072     NAR           ELEOT                    340302102,34035
ELEZO,40.948030555555555,-80.747,TERMINAL_WAYPOINT,USA,SUSAP,P,C,38D,N40565291W080444920,SUSAP 38D K5CELEZO K50    W     N40565291W080444920                       W0088     NAR           ELEZO                    889592504,88964
