ident,lat,lon,waypoint_class,area_code,record_type,section_code,subsection_code,airport_or_enroute,coord_raw,raw_record,line_number
ALEPE,33.785580555555555,-86.62708888888888,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KBHM,N33470809W086373752,SUSAP KBHMK7CALEPE K70    W     N33470809W086373752                       W0041     NAR           ALEPE                    329192605,132923
ALKOA,35.74053055555556,-84.0831861111111,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KTYS,N35442591W084045947,SUSAP KTYSK7CALKOA K70    W     N35442591W084045947                       W0060     NAR           ALKOA                    361792504,336181
ALLLN,35.48646111111111,-86.58446111111111,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N35291126W086350406,SUSAEAENRT   ALLLN K70    W     N35291126W086350406                       W0043     NAR           ALLLN                    276312605,27636
ALLMA,31.536427777777778,-82.5079638888889,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N31321114W082302867,SUSAEAENRT   ALLMA K70    W     N31321114W082302867                       W0066     NAR           ALLMA                    276322605,27637
ALLMN,32.629333333333335,-83.734875,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KMCN,N32374560W083440555,SUSAP KMCNK7CALLMN K70    C     N32374560W083440555                       W0059     NAR           ALLMN                    503722605,250375
ALOON,32.06995277777778,-86.52823055555555,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N32041183W086314163,SUSAEAENRT   ALOON K70    C   L N32041183W086314163                       W0040     NAR           ALOON                    276562504,27661
ALORE,35.423141666666666,-86.24368611111112,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KTHA,N35252331W086143727,SUSAP KTHAK7CALORE K70    W     N35252331W086143727                       W0045     NAR           ALORE                    290762504,329078
ALYSA,35.09435833333333,-81.94153611111112,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N35053969W081562953,SUSAEAENRT   ALYSA K70    W     N35053969W081562953                       W0073     NAR           ALYSA                    276922403,27697
AMAPO,32.083197222222225,-84.32330277777777,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N32045951W084192389,SUSAEAENRT   AMAPO K70    C   L N32045951W084192389                       W0055     NAR           AMAPO                    276982605,27703
AMENN,33.984005555555555,-82.22555,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N33590242W082133198,SUSAEAENRT   AMENN K70    W     N33590242W082133198                       W0070     NAR           AMENN                    277142504,27719
AMFAB,34.48241111111111,-82.04080833333333,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KLUX,N34285668W082022691,SUSAP KLUXK7CAMFAB K70    W     N34285668W082022691                       W0072     NAR           AMFAB                    460062605,246009
AMICY,33.465447222222224,-81.99878611111112,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N33275561W081595563,SUSAEAENRT   AMICY K70    W     N33275561W081595563                       W0071     NAR           AMICY                    277272605,27732
