ident,lat,lon,waypoint_class,area_code,record_type,section_code,subsection_code,airport_or_enroute,coord_raw,raw_record,line_number
KEFIG,43.02952777777778,-93.46185,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KFXY,N43014630W093274266,SUSAP KFXYK3CKEFIG K30    R     N43014630W093274266                       E0001     NAR           KEFIG                    966902605,196694
KEMGE,45.10086944444445,-91.7260888888889,TERMINAL_WAYPOINT,USA,SUSAP,P,C,Y23,N45060313W091433392,SUSAP Y23 K5CKEMGE K50    W     N45060313W091433392                       W0013     NAR           KEMGE                    568752304,356877
KEMIK,43.29589444444444,-96.03309444444444,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KRRQ,N43174522W096015914,SUSAP KRRQK3CKEMIK K30    W     N43174522W096015914                       E0020     NAR           KEMIK                    047142605,304716
KEPBE,47.08394166666667,-94.57684166666667,TERMINAL_WAYPOINT,USA,SUSAP,P,C,Y49,N47050219W094343663,SUSAP Y49 K3CKEPBE K30    W     N47050219W094343663                       E0008     NAR           KEPBE                    570062403,357008
KETEY,46.527258333333336,-93.04158333333334,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KHZX,N46313813W093022970,SUSAP KHZXK3CKETEY K30    W     N46313813W093022970                       W0004     NAR           KETEY                    184862403,218489
KEYBE,45.04931666666666,-89.92908055555556,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KRRL,N45025754W089554469,SUSAP KRRLK5CKEYBE K50    W     N45025754W089554469                       W0028     NAR           KEYBE                    046642605,304666
KG75I,42.5,-92.0,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N42300000W092000000,SUSAEAENRT   KG75I K30     W    N42300000W092000000                       W0009     NAR           KG75I                    412212403,41226
KG81K,43.5,-90.0,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N43300000W090000000,SUSAEAENRT   KG81K K50     W    N43300000W090000000                       W0025     NAR           KG81K                    412282304,41233
KG84K,44.0,-90.0,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N44000000W090000000,SUSAEAENRT   KG84K K50     V    N44000000W090000000                       W0026     NAR           KG84K                    412312403,41236
KGEEE,43.74903611111111,-93.5079138888889,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N43445653W093302849,SUSAEAENRT   KGEEE K30    R     N43445653W093302849                       E0001     NAR           KGEEE                    412332605,41238
KIBYE,44.039811111111106,-92.69580833333333,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KRST,N44022332W092414491,SUSAP KRSTK3CKIBYE K30    R     N44022332W092414491                       W0005     NAR           KIBYE                    049282403,304930
KICKR,42.775277777777774,-92.81138888888889,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KMSP,N42463100W092484100,SUSAP KMSPK3CKICKR K30    W     N42463100W092484100                       W0003     NAR           KICKR                    645392403,264542
KIGCE,46.62271666666667,-91.03881111111112,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KASX,N46372178W091021972,SUSAP KASXK5CKIGCE K50    W     N46372178W091021972                       W0020     NAR           KIGCE                    241242201,124128
KILTY,45.86697222222222,-96.57839444444444,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KETH,N45520110W096344222,SUSAP KETHK3CKILTY K30    W     N45520110W096344222                       E0024     NAR           KILTY                    849372504,184941
KILVE,45.98763888888889,-95.19085277777778,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KAXN,N45591550W095112707,SUSAP KAXNK3CKILVE K30    W     N45591550W095112707                       E0013     NAR           KILVE                    285532605,128557
KIMQE,44.540619444444445,-90.26875833333334,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KVIQ,N44322623W090160753,SUSAP KVIQK5CKIMQE K50    W     N44322623W090160753                       W0024     NAR           KIMQE                    398152304,339817
KINGZ,46.21745833333333,-92.30584999999999,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N46130285W092182106,SUSAEAENRT   KINGZ K30    C     N46130285W092182106                       W0010     NAR           KINGZ                    413832504,41388
KINPE,42.43553055555555,-93.98176111111111,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KFOD,N42260791W093585434,SUSAP KFODK3CKINPE K30    W     N42260791W093585434                       E0005     NAR           KINPE                    927052605,192709
KIRPE,44.70310833333333,-95.98104166666667,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KCNB,N44421119W095585175,SUSAP KCNBK3CKIRPE K30    W     N44421119W095585175                       E0020     NAR           KIRPE                    534352403,153439
KIRTS,42.79343333333333,-91.75731388888889,TERMINAL_WAYPOINT,USA,SUSAP,P,C,3Y2,N42473636W091452633,SUSAP 3Y2 K3CKIRTS K30    W     N42473636W091452633                       W0011     NAR           KIRTS                    913262403,91331
KITPE,46.824225000000006,-95.7285,TERMINAL_WAYPOINT,USA,SUSAP,P,C,16D,N46492721W095434260,SUSAP 16D K3CKITPE K30    W     N46492721W095434260                       E0017     NAR           KITPE                    827782504,82783
KIVCO,42.782624999999996,-94.01043888888888,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KEAG,N42465745W094003758,SUSAP KEAGK3CKIVCO K30    W     N42465745W094003758                       E0006     NAR           KIVCO                    790652403,179069
KIYEB,44.89134166666667,-94.405575,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KHCD,N44532883W094242007,SUSAP KHCDK3CKIYEB K30    W     N44532883W094242007                       E0008     NAR           KIYEB                    081752403,208178
KKILR,44.852839,-92.185589,MANUAL_WAYPOINT,MANUAL,MANUAL,MANUAL,MANUAL,MANUAL,,,-1
KNOWN,43.47530555555556,-92.14177500000001,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N43283110W092083039,SUSAEAENRT   KNOWN K30    W     N43283110W092083039                       W0009     NAR           KNOWN                    417072504,41712
KODMY,45.55779166666667,-95.28151666666666,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KGHW,N45332805W095165346,SUSAP KGHWK3CKODMY K30    W     N45332805W095165346                       E0014     NAR           KODMY                    999622605,199966
KOETZ,44.22083333333334,-91.47055555555556,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N44131500W091281400,SUSAEAENRT   KOETZ K50    W   L N44131500W091281400                       W0015     NAR           KOETZ                    417752605,41780
KOGRE,45.67533611111111,-94.36895277777776,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N45403121W094220823,SUSAEAENRT   KOGRE K30    W     N45403121W094220823                       E0007     NAR           KOGRE                    417812504,41786
