ident,lat,lon,waypoint_classes,area_codes,record_count
AAYRR,46.64681944,-123.72238889,TERMINAL_WAYPOINT,USA,1
ABASN,38.99665833,-106.58103333,TERMINAL_WAYPOINT,USA,1
ABSAW,44.032075,-93.88008889,ENROUTE_WAYPOINT,USA,1
ACABE,36.29372778,-82.32411944,TERMINAL_WAYPOINT,USA,1
ACACE,44.63203611,-96.04200278,TERMINAL_WAYPOINT,USA,1
ACACO,41.89962222,-111.84167778,TERMINAL_WAYPOINT,USA,1
ACADI,38.9283,-78.25307222,ENROUTE_WAYPOINT,USA,1
ACADN,44.66666667,-64.0,ENROUTE_WAYPOINT,CAN,1
ACADO,32.67393056,-97.60716944,TERMINAL_WAYPOINT,USA,1
ACAFI,46.36520556,-114.12180556,TERMINAL_WAYPOINT,USA,1
ACAFO,42.76525556,-75.51999722,TERMINAL_WAYPOINT,USA,1
ACAGI,40.43227778,-106.84273333,ENROUTE_WAYPOINT,USA,1
ACAGO,39.62120556,-111.86966111,TERMINAL_WAYPOINT,USA,1
ACAGU,36.81620556,-103.19526389,ENROUTE_WAYPOINT,USA,1
ACAKO,47.24790278,-104.95997222,ENROUTE_WAYPOINT,USA,1
ACALE,35.60876111,-90.11333333,ENROUTE_WAYPOINT,USA,1
ACANO,46.25531389,-84.63014167,TERMINAL_WAYPOINT,USA,1
ACANY,40.67116111,-98.74429167,ENROUTE_WAYPOINT,USA,1
ACAPE,46.00131667,-110.70674444,TERMINAL_WAYPOINT,USA,1
ACAPO,41.44268889,-81.80579444,TERMINAL_WAYPOINT,USA,1
ACAPU,30.73588611,-81.66496667,TERMINAL_WAYPOINT,USA,1
ACARA,36.00908889,-115.0909,ENROUTE_WAYPOINT,USA,1
ACARI,40.76941389,-80.13934444,ENROUTE_WAYPOINT,USA,1
ACASA,7.28810278,151.79798333,ENROUTE_WAYPOINT,USA,1
ACATA,41.36758333,-88.81778333,ENROUTE_WAYPOINT,USA,1
ACATE,59.71414722,-162.55269444,ENROUTE_WAYPOINT,CAN,1
ACATI,43.72418333,-83.79592778,TERMINAL_WAYPOINT,USA,1
ACAVA,38.04784444,-103.616625,TERMINAL_WAYPOINT,USA,1
ACAVU,41.84788889,-79.55454167,TERMINAL_WAYPOINT,USA,1
ACAYO,42.2008,-96.98176944,TERMINAL_WAYPOINT,USA,1
ACAZE,41.47370833,-74.36616667,TERMINAL_WAYPOINT,USA,1
ACCHE,29.57861667,-81.474775,TERMINAL_WAYPOINT,USA,1
ACCIO,28.81308611,-96.989525,ENROUTE_WAYPOINT,USA,1
ACCOM,37.571325,-75.8013,ENROUTE_WAYPOINT,USA,1
ACCOW,44.702575,-71.24414444,TERMINAL_WAYPOINT,USA,1
ACCRA,41.93333333,-88.01944444,ENROUTE_WAYPOINT,USA,1
ACDAV,64.49167778,-162.73810556,TERMINAL_WAYPOINT,CAN,1
ACDEP,45.67057778,-122.63115556,TERMINAL_WAYPOINT,USA,1
ACDIV,37.67557778,-89.93761667,TERMINAL_WAYPOINT,USA,1
ACDIY,40.50496111,-106.85871667,TERMINAL_WAYPOINT,USA,1
ACEBE,44.66469722,-89.26375833,TERMINAL_WAYPOINT,USA,1
ACEBI,30.15611944,-95.43541389,ENROUTE_WAYPOINT,USA,1
