ac_Type,acft_Class,Wing area,CD0,e,typical engine,Max thrust
ACRO-SPORT II,Vintage Bi-plane with struts and bracing wire,,,,,
C700,Twin Engine. Commuter Aircraft,,0.021,0.85,,
DA40,Single Engine. Light Aircraft - No Struts,,0.023,0.8,,
PA46,Single Engine. Light Aircraft - No Struts,,0.023,0.8,,
C72R,Single Engine. Light Aircraft - With Struts,,0.026,0.8,,
C82R,Single Engine. Light Aircraft - With Struts,,0.026,0.8,,
S22T,Single Engine. Light Aircraft - No Struts,,0.023,0.8,,
GLEX,Twin Engine. Commuter Aircraft,,0.021,0.85,,
BE36,Single Engine. Light Aircraft - No Struts,,0.023,0.8,,
BE23,Single Engine. Light Aircraft - No Struts,,0.023,0.8,,
BE55,Twin Engine. Commuter Aircraft,,0.021,0.85,,
B734,Twin Engine. Commuter Aircraft,,0.021,0.85,,
FA7X,Twin Engine. Commuter Aircraft,,0.021,0.85,,
PA30,Twin Engine. Commuter Aircraft,,0.021,0.85,,
COL3,Single Engine. Light Aircraft - No Struts,,0.023,0.8,,
DA62,Single Engine. Light Aircraft - No Struts,,0.023,0.8,,
BE33,Single Engine. Light Aircraft - No Struts,,0.023,0.8,,
C206,Single Engine. Light Aircraft - With Struts,,0.026,0.8,,
C120,Single Engine. Light Aircraft - With Struts,,0.026,0.8,,
E195,Twin Engine. Commuter Aircraft,,0.021,0.85,,
TBM8,Single Engine. Light Aircraft - No Struts,,0.023,0.8,,
C25A,Twin Engine. Commuter Aircraft,,0.021,0.85,,
C180,Single Engine. Light Aircraft - With Struts,,0.026,0.8,,
P28R,Single Engine. Light Aircraft - No Struts,,0.023,0.8,,
M20P,Single Engine. Light Aircraft - No Struts,,0.023,0.8,,
DC91,Twin Engine. Commuter Aircraft,,0.021,0.85,,
SR20,Single Engine. Light Aircraft - No Struts,,0.023,0.8,,
BE58,Twin Engine. Commuter Aircraft,,0.021,0.85,,
A388,Multi Engine. Widebody Aircraft,,0.019,0.84,,
S76,Twin Engine. Commuter Aircraft,,0.021,0.85,,
E45X,Twin Engine. Commuter Aircraft,,0.021,0.85,,
PA34,Twin Engine. Commuter Aircraft,,0.021,0.85,,
DV20,Single Engine. Light Aircraft - No Struts,,0.023,0.8,,
LJ31,Twin Engine. Commuter Aircraft,,0.021,0.85,,
AC11,Single Engine. Light Aircraft - No Struts,,0.023,0.8,,
SW3,Twin Engine. Commuter Aircraft,,0.021,0.85,,
GL6T,Twin Engine. Commuter Aircraft,,0.021,0.85,,
C82S,Single Engine. Light Aircraft - With Struts,,0.026,0.8,,
C340,Twin Engine. Commuter Aircraft,,0.021,0.85,,
RV14,Single Engine. Light Aircraft - No Struts,,0.023,0.8,,
BE35,Single Engine. Light Aircraft - No Struts,,0.023,0.8,,
T210,Single Engine. Light Aircraft - No Struts,,0.023,0.8,,
C152,Single Engine. Light Aircraft - With Struts,,0.026,0.8,,
SB20,Twin Engine. Commuter Aircraft,,0.021,0.85,,
RV10,Single Engine. Light Aircraft - No Struts,,0.023,0.8,,
LJ35A,Twin Engine. Commuter Aircraft,,0.021,0.85,,
FA20,Twin Engine. Commuter Aircraft,,0.021,0.85,,
C240,Twin Engine. Commuter Aircraft,,0.021,0.85,,
CL65,Twin Engine. Commuter Aircraft,,0.021,0.85,,
LJ70,Twin Engine. Commuter Aircraft,,0.021,0.85,,
MU2,Twin Engine. Commuter Aircraft,,0.021,0.85,,
PRM1,Twin Engine. Commuter Aircraft,,0.021,0.85,,
A343,Multi Engine. Widebody Aircraft,,0.019,0.84,,
BE95,Twin Engine. Commuter Aircraft,,0.021,0.85,,
C441,Twin Engine. Commuter Aircraft,,0.021,0.85,,
MD90,Twin Engine. Commuter Aircraft,,0.021,0.85,,
H25C,Twin Engine. Commuter Aircraft,,0.021,0.85,,
