acId,entry_lat,entry_lon,entry_alt,entry_rectime,exit_lat,exit_lon,exit_alt,exit_rectime,entry_x,entry_y,exit_x,exit_y
AAL1339_KDFWtoKDTW,40.52306,-85.64,29900.0,2023-12-22 18:12:44,41.737257777814925,-84.17212215648293,16935.247071787613,2023-12-22 18:26:28,-193278.03671174278,-185283.14218634443,-67932.42949776519,-52508.52258539194
AAL1358_KCLTtoKDTW,39.48377856415442,-82.11487060432266,33000.0,2023-12-22 18:09:12,41.67325559197591,-82.944942940868,19135.938114592245,2023-12-22 18:29:29,106328.89468615162,-302649.9562325928,33925.68077752752,-59869.080190589426
AAL1436_KPHLtoKDTW,40.69483764131082,-80.76981537164139,30000.0,2023-12-22 14:50:17,41.749115084231576,-82.79697364686736,18920.699628564424,2023-12-22 15:07:23,217808.26594016363,-165476.97888916486,46160.82259755726,-51364.68630978221
AAL1456_KORDtoKDTW,43.23347835088876,-86.17061474174,25000.0,2023-12-22 16:56:31,42.687789249788565,-83.95891159967003,12300.30294067362,2023-12-22 17:13:16,-228201.61635270077,117332.62735185226,-49491.79177977607,53036.88747963543
AAL1728_KPHXtoKDTW,40.54183617077397,-85.84486435379898,33000.0,2023-12-22 15:13:16,41.737329994010146,-84.1736660079464,16940.00012435676,2023-12-22 15:28:14,-210530.2769036992,-182715.94618367488,-68060.44825471827,-52499.26593784938
AAL1734_KDFWtoKDTW,40.48917,-85.68139,29000.0,2023-12-22 14:19:32,41.73726446765848,-84.17226090906966,17142.816473270617,2023-12-22 14:34:26,-196876.37522768587,-188957.1282437332,-67943.93489646497,-52507.668566422995
AAL419_KCLTtoKDTW,39.6369957589119,-81.82224888730305,34000.0,2023-12-22 01:08:57,41.675002867789104,-82.97536651326702,11000.0,2023-12-22 01:30:25,131152.69422161666,-285213.54299979104,31397.928417996878,-59686.41026061588
ABX1488_KRFDtoKDTW,42.09997516767139,-86.34785041384998,29000.0,2023-12-22 05:00:48,42.08717820404132,-84.24145805195225,13443.294673286073,2023-12-22 05:12:44,-247003.5384488715,-8167.481142422024,-73281.79477634159,-13543.034782431218
AFR378_LFPGtoKDTW,43.080485356324296,-80.48185539415572,30114.73089865459,2023-12-22 17:58:33,42.49219002081915,-82.77020716120694,9109.747085963249,2023-12-22 18:16:47,233179.98201399195,100475.56902318733,47816.78384897519,31275.071227250242
DAL1040_KAUStoKDTW,40.5125,-85.74889,29000.0,2023-12-22 08:26:32,41.73732812348565,-84.17362752473893,17000.0,2023-12-22 08:40:54,-202512.11651610458,-186207.16505468756,-68057.25724110728,-52499.504533030704
DAL1066_KTPAtoKDTW,39.47195669419985,-82.13982072706742,34843.47016433779,2023-12-22 07:56:33,41.67314811882579,-82.94307696365256,19820.938696414836,2023-12-22 08:16:13,104205.112734535,-303994.6809207563,34080.720607678086,-59880.288822935196
