acId,enter_pre_tracon,enter_tracon,duration_seconds,enter_pre_tracon_coord,enter_tracon_coord
RPA3592_KIADtoKDTW,2023-12-22 09:36:45,2023-12-22 09:53:22,997.0,"(-80.78194, 40.67194)","(-82.80667, 41.75556)"
NKS380_KFLLtoKDTW,2023-12-22 09:34:14,2023-12-22 09:55:21,1267.0,"(-82.00389, 39.53972)","(-82.79944, 41.74944)"
DAL1748_KBOStoKDTW,2023-12-22 09:58:53,2023-12-22 10:16:07,1034.0,"(-80.40111, 42.72861)","(-82.76583, 42.48167)"
DAL2063_KTPAtoKDTW,2023-12-22 09:54:50,2023-12-22 10:14:46,1196.0,"(-82.25528, 39.44139)","(-82.94472, 41.67583)"
DAL1240_KATLtoKDTW,2023-12-22 09:58:38,2023-12-22 10:19:22,1244.0,"(-82.29528, 39.40861)","(-82.9525, 41.68306)"
GJS4400_KORDtoKDTW,2023-12-22 10:02:05,2023-12-22 10:16:40,875.0,"(-86.22111, 43.00167)","(-83.93972, 42.68444)"
SWA692_KSTLtoKDTW,2023-12-22 09:58:54,2023-12-22 10:13:24,870.0,"(-85.62667, 40.50556)","(-84.16306, 41.74472)"
DAL1745_KDENtoKDTW,2023-12-22 10:21:41,2023-12-22 10:36:52,911.0,"(-86.22278, 43.00472)","(-83.955, 42.68722)"
DAL1433_KMCOtoKDTW,2023-12-22 10:37:38,2023-12-22 10:57:46,1208.0,"(-82.14167, 39.48389)","(-82.9475, 41.67694)"
SKW4944_KORDtoKDTW,2023-12-22 10:50:31,2023-12-22 11:05:52,921.0,"(-86.12389, 43.29583)","(-83.94139, 42.685)"
