t,f1_alt_ft,f1_lat,f1_lon,f2_alt_ft,f2_lat,f2_lon,f3_alt_ft,f3_lat,f3_lon
0.0,37000.0,38.84306,-82.03972,39000.0,38.83194,-82.03778,36000.0,44.62722,-77.79222
30.0,36973.68421052631,38.88456342857143,-82.05054114285714,39000.0,38.87252657142857,-82.050676,35972.97297297297,44.59563828571429,-77.86098927536231
60.0,36947.368421052626,38.926066857142864,-82.06136228571428,39000.0,38.91311314285714,-82.063572,35945.94594594595,44.56405657142857,-77.92975855072463
90.0,36921.05263157904,38.9675702857141,-82.07218342857166,39000.0,38.95369971428584,-82.07646800000015,35918.918918918906,44.53247485714285,-77.99852782608728
120.0,36894.736842105354,39.009073714285535,-82.0830045714288,39000.0,38.99428628571441,-82.08936400000015,35891.89189189188,44.50089314285714,-78.0672971014496
150.0,36868.42105263167,39.050577142856966,-82.09382571428594,39000.0,39.03487285714298,-82.10226000000014,35864.86486486485,44.46931142857142,-78.13606637681191
180.0,36842.10526315798,39.0920805714284,-82.10464685714308,39000.0,39.07545942857155,-82.11515600000014,35837.837837837826,44.43772971428571,-78.20483565217422
210.0,36815.78947368429,39.13358399999983,-82.11546800000022,39000.0,39.11604600000012,-82.12805200000014,35810.8108108108,44.406147999999995,-78.27360492753654
240.0,36789.47368421061,39.17508742857126,-82.12628914285736,39000.0,39.15663257142869,-82.14094800000014,35783.78378378377,44.37456628571428,-78.34237420289885
270.0,36763.15789473692,39.21659085714269,-82.1371102857145,39000.0,39.19721914285726,-82.15384400000013,35756.756756756746,44.342984571428566,-78.41114347826117
300.0,36736.84210526323,39.25809428571412,-82.14793142857164,39000.0,39.23780571428583,-82.16674000000013,35729.72972972972,44.31140285714285,-78.47991275362348
330.0,36710.526315789546,39.299597714285554,-82.15875257142878,39000.0,39.278392285714396,-82.17963600000013,35702.70270270269,44.27982114285714,-78.5486820289858
360.0,36684.21052631586,39.341101142856985,-82.16957371428592,39000.0,39.318978857142966,-82.19253200000013,35675.675675675666,44.248239428571424,-78.61745130434811
390.0,36657.89473684217,39.382604571428416,-82.18039485714306,39000.0,39.359565428571536,-82.20542800000013,35648.64864864864,44.21665771428571,-78.68622057971042
420.0,36631.578947368485,39.42410799999985,-82.1912160000002,39000.0,39.400152000000105,-82.21832400000012,35621.62162162161,44.185075999999995,-78.75498985507274
450.0,36605.2631578948,39.46561142857128,-82.20203714285734,39000.0,39.440738571428675,-82.23122000000012,35594.594594594586,44.15349428571428,-78.82375913043505
480.0,36578.94736842111,39.50711485714271,-82.21285828571447,39000.0,39.481325142857244,-82.24411600000012,35567.56756756756,44.12191257142857,-78.89252840579736
510.0,36552.631578947425,39.54861828571414,-82.22367942857161,39000.0,39.521911714285814,-82.25701200000012,35540.54054054053,44.09033085714285,-78.96129768115968
540.0,36526.31578947374,39.59012171428557,-82.23450057142875,39000.0,39.56249828571438,-82.26990800000011,35513.513513513506,44.05874914285714,-79.03006695652199
570.0,36500.0,39.631625142857004,-82.2453217142859,39000.0,39.60308485714295,-82.28280400000011,35486.48648648648,44.027167428571424,-79.0988362318843
600.0,36473.684210526364,39.673128571428435,-82.25614285714303,39000.0,39.64367142857152,-82.29570000000011,35459.45945945945,43.99558571428571,-79.16760550724662
630.0,36447.36842105268,39.71463199999987,-82.26696400000017,39000.0,39.68425800000009,-82.30859600000011,35432.432432432426,43.964003999999996,-79.23637478260893
660.0,36421.05263157899,39.7561354285713,-82.27778514285731,39000.0,39.72484457142866,-82.3214920000001,35405.4054054054,43.93242228571428,-79.30514405797125
690.0,36394.7368421053,39.79763885714273,-82.28860628571445,39000.0,39.76543114285723,-82.3343880000001,35378.37837837837,43.90084057142857,-79.37391333333356
720.0,36368.42105263162,39.83914228571416,-82.29942742857159,39000.0,39.8060177142858,-82.3472840000001,35351.351351351346,43.86925885714285,-79.44268260869588
750.0,36342.10526315793,39.88064571428559,-82.31024857142873,39000.0,39.84660428571437,-82.3601800000001,35324.32432432432,43.83767714285714,-79.51145188405819
780.0,36315.78947368424,39.92214914285702,-82.32106971428587,39000.0,39.88719085714294,-82.3730760000001,35297.29729729729,43.806095428571425,-79.5802211594205
810.0,36289.473684210556,39.963652571428455,-82.33189085714301,39000.0,39.92777742857151,-82.3859720000001,35270.270270270266,43.77451371428571,-79.64899043478282
840.0,36263.15789473687,40.005155999999886,-82.34271200000015,39000.0,39.96836400000008,-82.39886800000009,35243.24324324324,43.742931999999996,-79.71775971014513
870.0,36236.84210526318,40.04665942857132,-82.35353314285729,39000.0,40.00895057142865,-82.41176400000009,35216.21621621621,43.71135028571428,-79.78652898550745
900.0,36210.526315789495,40.08816285714275,-82.36435428571443,39000.0,40.04953714285722,-82.42466000000009,35189.18918918919,43.67976857142857,-79.85529826086976
930.0,36184.21052631581,40.12966628571418,-82.37517542857157,39000.0,40.09012371428579,-82.43755600000009,35162.16216216216,43.64818685714285,-79.92406753623207
960.0,36157.89473684212,40.17116971428561,-82.3859965714287,39000.0,40.13071028571436,-82.45045200000008,35135.13513513513,43.61660514285714,-79.99283681159439
990.0,36131.578947368434,40.21267314285704,-82.39681771428585,39000.0,40.17129685714293,-82.46334800000008,35108.10810810811,43.585023428571425,-80.0616060869567
1020.0,36105.26315789475,40.254176571428474,-82.40763885714298,39000.0,40.2118834285715,-82.47624400000008,35081.08108108108,43.55344171428571,-80.13037536231901
1050.0,36078.94736842106,40.295679999999905,-82.41846000000012,39000.0,40.252470000000066,-82.48914000000008,35054.05405405405,43.52186,-80.19914463768133
1080.0,36052.631578947374,40.337183428571336,-82.42928114285726,39000.0,40.293056571428636,-82.50203600000007,35027.02702702703,43.49027828571428,-80.26791391304364
1110.0,36026.31578947369,40.37868685714277,-82.4401022857144,39000.0,40.333643142857206,-82.51493200000007,35000.0,43.45869657142857,-80.33668318840596
1140.0,36000.0,40.4201902857142,-82.45092342857154,39000.0,40.374229714285775,-82.52782800000007,35000.0,43.427114857142854,-80.40545246376827
1170.0,36000.0,40.46169371428563,-82.46174457142868,39000.0,40.414816285714345,-82.54072400000007,35000.0,43.39553314285714,-80.47422173913058
1200.0,36000.0,40.50319714285706,-82.47256571428582,39000.0,40.455402857142914,-82.55362000000007,35000.0,43.363951428571426,-80.5429910144929
1230.0,36000.0,40.54470057142849,-82.48338685714296,38000.0,40.495989428571484,-82.56651600000006,35000.0,43.33236971428571,-80.61176028985521
1260.0,36000.0,40.586203999999924,-82.4942080000001,38000.0,40.53657600000005,-82.57941200000006,35000.0,43.300788,-80.68052956521753
1290.0,36000.0,40.627707428571355,-82.50502914285724,37000.0,40.57716257142862,-82.59230800000006,35000.0,43.26920628571428,-80.74929884057984
1320.0,36000.0,40.66921085714279,-82.51585028571438,36000.0,40.61774914285719,-82.60520400000006,35000.0,43.23762457142857,-80.81806811594215
1350.0,35000.0,40.71071428571422,-82.52667142857152,35000.0,40.65833571428576,-82.61810000000006,35000.0,43.206042857142855,-80.88683739130447
1380.0,34000.0,40.75221771428565,-82.53749257142866,34000.0,40.69892228571433,-82.63099600000005,34000.0,43.17446114285714,-80.95560666666678
1410.0,33000.0,40.79372114285708,-82.5483137142858,33000.0,40.7395088571429,-82.64389200000005,33000.0,43.142879428571426,-81.0243759420291
1440.0,32000.0,40.83522457142851,-82.55913485714294,32000.0,40.78009542857147,-82.65678800000005,32000.0,43.11129771428571,-81.09314521739141
