recTime,acId,coord1,coord2,alt,groundSpeed,rateOfClimb,d_ts,t,x,y,z,fuel_flow,fuel_used,CO2_flow,H2O_flow,Soot_flow,SOx_flow,NOx_flow,CO_flow,HC_flow,CO2_emitted,H2O_emitted,Soot_emitted,SOx_emitted,NOx_emitted,CO_emitted,HC_emitted
2023-12-22 07:56:33,DAL1066_KTPAtoKDTW,43.09239277311722,-86.22098756433643,22400.0,479.76,-500.0,0.0,0.0,-232814.29186446377,101775.92414501442,6827.52,0.8540344349836868,0.0,2698.7488145484504,1050.4623550299348,0.025621033049510602,1.0248413219804242,12.168733638917358,1.5113251533107073,0.12466969918158259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-22 07:57:19,DAL1066_KTPAtoKDTW,43.01220146871038,-86.13331671038539,21437.0,388.45,-500.0,46.0,46.0,-225992.85054554106,92624.9387942175,6533.997600000001,0.5939143394200281,27.320059613321295,1876.7693125672888,730.5146374866346,0.017817430182600843,0.7126972073040337,6.61600415826362,1.2746653033586344,0.08432073929316447,86331.38837809529,33603.67332438519,0.8196017883996388,32.784071535985554,304.3361912801265,58.63460395449718,3.8787540074855658
2023-12-22 07:58:05,DAL1066_KTPAtoKDTW,42.94637827500954,-86.0641843024599,21010.0,306.2,-500.0,46.0,92.0,-220609.6268266229,85126.13721707439,6403.848,0.4519763974410722,48.11097389561061,1428.2454159137883,555.9309688525188,0.013559291923232165,0.5423716769292867,4.114775567209672,3.1490297410885297,0.28693416606795813,152030.67751012955,59176.49789160106,1.4433292168683183,57.73316867473274,493.6158673717714,203.48997204456956,17.07772564661164
2023-12-22 07:58:51,DAL1066_KTPAtoKDTW,42.89383876551938,-86.01093537980732,20600.0,306.42,-500.0,46.0,138.0,-216461.25009693578,79148.70031243864,6278.88,0.45267218385664143,68.93389435301611,1430.444100986987,556.7867861436689,0.013580165515699242,0.5432066206279696,4.1223162728177805,3.1792119929308544,0.2903166197451615,217831.10615553096,84788.69005420983,2.0680168305904836,82.72067322361934,683.2424159213892,349.7337237193889,30.432290154889067
2023-12-22 07:59:38,DAL1066_KTPAtoKDTW,42.84126299236052,-85.95751483980955,19600.0,307.65,-500.0,47.0,185.0,-212291.4429533945,73169.38092369016,5974.08,0.45610287823624485,90.37072963011963,1441.2850952265337,561.0065402305812,0.013683086347087346,0.5473234538834938,4.16971348166739,3.2076144030502487,0.29366425632209475,285571.50563117804,111155.99744504715,2.711121888903589,108.44487555614356,879.2189495597565,500.49160066275056,44.23451020202752
2023-12-22 08:00:24,DAL1066_KTPAtoKDTW,42.78711485974123,-85.90651773678941,18600.0,308.87,-300.0,46.0,231.0,-208316.99052150038,67023.80966633522,5669.280000000001,0.5420822500453757,115.3065131322069,1712.979910143387,666.7611675558121,0.01626246750136127,0.6504987000544508,5.691361217510839,1.1604973635812326,0.07284609239029544,364368.5814977739,141827.0111526145,3.4591953939662075,138.3678157586483,1141.021565565255,553.8744793874872,47.58543045198111
2023-12-22 08:01:10,DAL1066_KTPAtoKDTW,42.731533645250664,-85.85809390439275,18369.0,309.15,-500.0,46.0,277.0,-204549.87794202915,60727.48173562316,5598.8712000000005,0.46187023695491614,136.55254403213306,1459.509948777535,568.1003914545469,0.013856107108647483,0.5542442843458993,4.253366587108285,3.2057862321175143,0.2937867702725501,431506.0391415405,167959.62915952364,4.096576320963992,163.86305283855967,1336.676428572236,701.3406460648929,61.09962188451841
2023-12-22 08:01:56,DAL1066_KTPAtoKDTW,42.67570920357295,-85.81004491776197,17985.0,461.36,-500.0,46.0,323.0,-200806.91823843576,54407.12465017634,5481.828,0.9074088834314349,178.29335266997907,2867.4120716433345,1116.112926620665,0.027222266502943047,1.0888906601177217,13.373756397583733,1.487921410691088,0.12273542435773056,563406.9944371339,219300.82378407422,5.348800580099372,213.95202320397487,1951.8692228610878,769.7850309566829,66.74545140497402
2023-12-22 08:02:42,DAL1066_KTPAtoKDTW,42.59424274647411,-85.73458570117614,17600.0,310.08,0.0,46.0,369.0,-194894.79194176043,45175.12961999661,5364.4800000000005,0.6723551737044677,209.22169066038458,2124.642348906118,826.9968636564953,0.020170655211134033,0.8068262084453612,8.0032656754509,1.312048668086825,0.08890182399230809,661140.5424868154,257342.679512273,6.2766507198115375,251.0660287924615,2320.0194439318293,830.1392696886769,70.83493530862019
2023-12-22 08:03:28,DAL1066_KTPAtoKDTW,42.55184909996957,-85.68152707370108,17600.0,310.08,200.0,46.0,415.0,-190682.4371851325,40342.02974145292,5364.4800000000005,0.7567318933259004,244.031357753376,2391.2727829098453,930.7802287908574,0.02270195679977701,0.9080782719910805,9.693606427116343,1.396904187101573,0.10005849322042366,771139.0905006683,300158.57003665244,7.32094073260128,292.83762930405123,2765.925339579181,894.3968622953493,75.43762599675968
