recTime,acId,coord1,coord2,alt,groundSpeed,rateOfClimb,d_ts,x,y,z,fuel_flow,fuel_used,CO2_flow,H2O_flow,Soot_flow,SOx_flow,NOx_flow,CO_flow,HC_flow,CO2_emitted,H2O_emitted,Soot_emitted,SOx_emitted,NOx_emitted,CO_emitted,HC_emitted
2023-12-22 08:00:49.000,DAL1066_KTPAtoKDTW,39.99222,-82.22361,32900.0,457.0,-500.0,12.0,96268.73609961249,-246255.00109121954,10027.92,0.5861585356968766,155.2891405597163,1852.26097280213,720.9749989071582,0.017584756070906298,0.7033902428362518,6.499469621412284,1.4487473739619723,0.10280744234963135,490713.68416870345,191005.64288845105,4.658674216791489,186.34696867165957,1676.1270356112334,396.0770094950916,27.708705337871333
2023-12-22 08:01:01.000,DAL1066_KTPAtoKDTW,40.01611,-82.2275,32800.0,437.0,-500.0,12.0,95903.20573949828,-243603.0016549679,9997.44,0.5545990811733794,161.94432953379683,1752.533096507879,682.1568698432567,0.016637972435201383,0.6655188974080553,5.922677164026926,1.4065138311312309,0.09681516991788917,511744.081326798,199191.52532657015,4.858329886013906,194.33319544055624,1747.1991615795564,412.95517546866637,28.870487376886004
2023-12-22 08:01:12.000,DAL1066_KTPAtoKDTW,40.04056,-82.23167,32700.0,489.0,-515.0,11.0,95513.26332324535,-240889.0288308148,9966.960000000001,0.6470503980845415,169.06188391272678,2044.679257947151,795.871989643986,0.019411511942536243,0.7764604777014498,7.688953246412231,1.5095034069778839,0.1136124092273391,534235.5531642167,207946.117212654,5.071856517381804,202.8742606952722,1831.777647290091,429.5597129454231,30.120223878386735
2023-12-22 08:01:25.000,DAL1066_KTPAtoKDTW,40.06528,-82.23556,32600.0,418.0,-502.0,13.0,95147.01651268355,-238144.70778560115,9936.480000000001,0.5289016786352978,175.93760573498565,1671.329304487541,650.5490647214162,0.015867050359058932,0.6346820143623574,5.4731553833704485,1.366327703692515,0.09174992520168283,555962.8341225547,216403.25505403243,5.278128172049571,211.12512688198285,1902.9286672739067,447.32197309342575,31.31297290600861
2023-12-22 08:01:36.000,DAL1066_KTPAtoKDTW,40.08972,-82.23944,32500.0,488.0,-517.0,11.0,94782.24847700896,-235431.49239000736,9906.0,0.6477397590899221,183.06274308497478,2046.8576387241537,796.7199036806041,0.019432192772697664,0.7772877109079065,7.701257690490335,1.5071204707234598,0.11329352233158815,578478.2681485205,225167.17399451908,5.491882292549245,219.67529170196983,1987.6425018693005,463.9002982713838,32.55920165165608
2023-12-22 08:01:49.000,DAL1066_KTPAtoKDTW,40.115,-82.24361,32400.0,427.0,-502.0,13.0,94391.8621773845,-232625.17791735666,9875.52,0.5427520047792929,190.1185191471056,1715.0963351025655,667.5849658785302,0.016282560143378786,0.6513024057351514,5.713385687482562,1.3830624168403498,0.09391831070997843,600774.5205048538,233845.77855093998,5.703555574413169,228.1422229765268,2061.916515806574,481.88010969030836,33.780139690885804
2023-12-22 08:02:01.000,DAL1066_KTPAtoKDTW,40.13972,-82.24778,32200.0,453.0,-682.0,12.0,94002.51735005344,-229881.1108625351,9814.560000000001,0.5362296369317663,196.5532747902868,1694.4856527043814,659.5624534260726,0.016086889107952987,0.6434755643181195,5.626262433478815,1.3695372422811007,0.09278339008264912,621108.3483373064,241760.52799205284,5.896598243708605,235.86392974834422,2129.4316650083197,498.3145565976816,34.89354037187759
2023-12-22 08:02:13.000,DAL1066_KTPAtoKDTW,40.16417,-82.25167,32100.0,447.0,-682.0,12.0,93637.59653083488,-227166.74279115113,9784.08,0.5262756463136085,202.8685825460501,1663.0310423510027,647.3190449657384,0.015788269389408253,0.6315307755763301,5.455162438022248,1.3532175196370695,0.09081524821815307,641064.7208455184,249528.3565316417,6.086057476381504,243.44229905526018,2194.8936142645866,514.5531668333264,35.983323350495425
2023-12-22 08:02:25.000,DAL1066_KTPAtoKDTW,40.18889,-82.25583,31900.0,453.0,-848.0,12.0,93249.59162720972,-224422.62846793802,9723.12,0.49374054253104727,208.79346905642268,1560.2201143981094,607.3008673131882,0.014812216275931418,0.5924886510372567,4.933004574960078,1.2988424341473646,0.08495966521129607,659787.3622182957,256815.96693939998,6.2638040716926815,250.55216286770727,2254.0896691641074,530.1392760430947,37.00283933303098
2023-12-22 08:02:36.000,DAL1066_KTPAtoKDTW,40.21194,-82.25944,31800.0,460.0,-682.0,11.0,92910.8660796099,-221863.59107811924,9692.640000000001,0.5550735141141836,214.8992777116787,1754.0323046008202,682.7404223604458,0.016652205423425506,0.6660882169370202,5.956407346058131,1.3891173722726549,0.09543386865181376,679081.7175689047,264326.1115853649,6.446978331350362,257.8791332540145,2319.610149970747,545.419567138094,38.05261188820093
