recTime,acId,coord1,coord2,alt,groundSpeed,rateOfClimb,d_ts,x,y,z,fuel_flow,fuel_used,CO2_flow,H2O_flow,Soot_flow,SOx_flow,NOx_flow,CO_flow,HC_flow,CO2_emitted,H2O_emitted,Soot_emitted,SOx_emitted,NOx_emitted,CO_emitted,HC_emitted
2023-12-21 23:51:34.000,DAL8952_KPHLtoKDTW,40.99806,-80.97944,36000.0,409.0,0.0,12.0,199218.31332544872,-132287.45491966256,10972.800000000001,0.36709706592017743,57.88769624727516,1160.0267283077608,451.52939108181823,0.011012911977605323,0.44051647910421293,1.7608678592676077,9.634586195713501,0.128868968846381,182925.1201413895,71201.86638414844,1.7366308874182546,69.46523549673019,277.1254589276608,1524.4989829411143,20.389163576505602
2023-12-21 23:51:46.000,DAL8952_KPHLtoKDTW,41.00972,-81.00667,36000.0,430.0,0.0,12.0,196898.66244382205,-131053.9687856048,10972.800000000001,0.3751741363271729,62.389785883201235,1185.5502707938663,461.4641876824227,0.011255224089815186,0.4502089635926074,1.8292104210285984,9.556457330070975,0.1279242738078776,197151.7233909159,76739.43663633752,1.8716935764960367,74.86774305984147,299.075983980004,1639.176470901966,21.924254862200133
2023-12-21 23:51:58.000,DAL8952_KPHLtoKDTW,41.02028,-81.03111,36000.0,387.0,0.0,12.0,194817.07483958686,-129935.712063081,10972.800000000001,0.36323990482957713,66.74866474115616,1147.8380992614636,446.7850829403799,0.010897197144887313,0.43588788579549254,1.7260752456846598,9.690395740319687,0.12955739582031908,210925.78058205347,82100.85763162207,2.0024599422346845,80.09839768938738,319.78888692821994,1755.4612197858023,23.478943612043963
2023-12-21 23:52:10.000,DAL8952_KPHLtoKDTW,41.03139,-81.0575,36000.0,415.0,0.0,12.0,192570.98761011037,-128760.09009880408,10972.800000000001,0.3689377734287247,71.17591802230086,1165.84336403477,453.7934613173314,0.01106813320286174,0.44272532811446963,1.776591105382052,9.615668478487569,0.12863957537175055,224915.9009504707,87546.37916743004,2.1352775406690254,85.41110162676102,341.1079801928046,1870.8492415276532,25.02261851650497
2023-12-21 23:52:20.000,DAL8952_KPHLtoKDTW,41.04083,-81.07917,36000.0,412.0,0.0,10.0,190726.24550054906,-127758.96647294065,10972.800000000001,0.36792917809542547,74.85520980325512,1162.6562027815444,452.5528890573733,0.011037875342862763,0.4415150137145106,1.7680350899357724,9.625503570822781,0.12875844859760766,236542.46297828614,92071.90805800378,2.245656294097653,89.82625176390613,358.7883310921623,1967.104277235881,26.310203002481046
2023-12-21 23:52:32.000,DAL8952_KPHLtoKDTW,41.05222,-81.10583,36000.0,421.0,0.0,12.0,188458.05636355703,-126551.54921275398,10972.800000000001,0.37114189156253585,79.30891250200555,1172.8083773376134,456.5045266219191,0.011134256746876075,0.445370269875043,1.7952514673366222,9.594340812087275,0.12838177745433213,250616.1635063375,97549.96237746681,2.379267375060166,95.17069500240665,380.3313487002018,2082.2363669809283,27.85078433193303
2023-12-21 23:52:43.000,DAL8952_KPHLtoKDTW,41.06306,-81.13139,36000.0,439.0,0.0,11.0,186284.39300946236,-125402.18683344244,10972.800000000001,0.37977280933795327,83.48641340472304,1200.0820775079324,467.12055548568253,0.011393184280138597,0.4557273712055439,1.868100935525579,9.510956882489571,0.12737216020753905,263817.0663589247,102688.28848780932,2.5045924021416908,100.18369608566763,400.88045899098313,2186.8568926883136,29.25187809421596
2023-12-21 23:52:55.000,DAL8952_KPHLtoKDTW,41.07389,-81.15722,36000.0,405.0,0.0,12.0,184088.8220271448,-124253.86673160124,10972.800000000001,0.3659051132823739,87.87727476411152,1156.2601579723016,450.06328933731993,0.010977153398471216,0.43908613593884865,1.7507176333001568,9.64642999605633,0.12901219230588912,277692.18825459236,108089.04795985715,2.636318242923345,105.45272971693382,421.889070590585,2302.6140526409895,30.80002440188663
2023-12-21 23:53:07.000,DAL8952_KPHLtoKDTW,41.085,-81.18333,36000.0,411.0,0.0,12.0,181869.70680325988,-123074.34909542988,10972.800000000001,0.3675504282544314,92.2878799031647,1161.4593532840033,452.08702675295064,0.011026512847632942,0.4410605139053177,1.764862375628692,9.628805124514003,0.12879802772509732,291629.7004940004,113514.09228089257,2.7686363970949404,110.74545588379763,443.0674190981293,2418.1597141351576,32.3456007345878
2023-12-21 23:53:19.000,DAL8952_KPHLtoKDTW,41.09639,-81.20972,36000.0,417.0,0.0,12.0,179627.08699538116,-121863.61212866096,10972.800000000001,0.3695450955730907,96.72242105004179,1167.7625020109665,454.5404675549015,0.01108635286719272,0.4434541146877088,1.7818088765413178,9.609098253362387,0.12855962093684614,305642.850518132,118968.57789155138,2.901672631501253,116.06690526005013,464.4491256166251,2533.4688931755063,33.88831618582995
