t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft
0.0,39.471957,-82.139821,34843.470164,39.471965,-82.139803,34406.851392
60.0,39.471957,-82.139821,34017.23093326,39.471965,-82.139803,33626.96598009
120.0,39.59176452631579,-82.17441989473684,33190.99170252,39.59177210526315,-82.17440284210527,32847.08056818
180.0,39.71157205263159,-82.20901878947363,32364.752471779997,39.711579210526345,-82.20900268421049,32067.195156269998
240.0,39.83137957894738,-82.24361768421048,31538.513241039997,39.8313863157895,-82.24360252631575,31287.309744359998
300.0,39.951187105263166,-82.27821657894732,30712.274010299996,39.95119342105266,-82.27820236842102,30507.42433245
360.0,40.070994631578955,-82.31281547368417,29886.034779559996,40.071000526315814,-82.31280221052629,29727.53892054
420.0,40.190802157894744,-82.34741436842101,29059.795548819995,40.19080763157897,-82.34740205263155,28947.65350863
480.0,40.31060968421053,-82.38201326315786,28233.55631807999,40.310614736842126,-82.38200189473682,28167.768096719996
540.0,40.43041721052632,-82.4166121578947,27407.317087339987,40.43042184210528,-82.41660173684208,27387.882684809992
600.0,40.55022473684211,-82.45121105263155,26581.077856599983,40.55022894736844,-82.45120157894735,26607.99727289999
660.0,40.6700322631579,-82.4858099473684,25754.83862585998,40.670036052631595,-82.48580142105261,25828.111860989986
720.0,40.78983978947369,-82.52040884210524,24928.599395119974,40.78984315789475,-82.52040126315788,25048.226449079983
780.0,40.90964731578948,-82.55500773684209,24102.36016437997,40.90965026315791,-82.55500110526314,24268.34103716998
840.0,41.02945484210527,-82.58960663157893,23276.120933639966,41.02945736842106,-82.58960094736841,23488.455625259976
900.0,41.149262368421056,-82.62420552631578,22449.88170289996,41.14926447368422,-82.62420078947368,22708.570213349973
960.0,41.269069894736845,-82.65880442105262,21623.64247215995,41.269071578947376,-82.65880063157894,21928.684801439966
1020.0,41.388877421052634,-82.69340331578947,20797.403241419943,41.38887868421053,-82.6934004736842,21148.79938952996
1080.0,41.50868494736842,-82.72800221052631,19971.164010679935,41.50868578947369,-82.72800031578947,20368.91397761995
1140.0,41.62849247368421,-82.76260110526316,19144.924779939927,41.628492894736844,-82.76260015789474,19589.028565709945
1200.0,41.7483,-82.7972,18318.68554919992,41.7483,-82.7972,18809.143153799938
