size,trials,completed,timeouts,errors,min_sec,max_sec,avg_sec,std_sec
10,10,0,0,10,,,,
15,10,0,0,10,,,,
20,10,0,0,10,,,,
25,10,0,0,10,,,,
30,10,0,0,10,,,,
