t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft,f3_lat,f3_lon,f3_alt_ft,f4_lat,f4_lon,f4_alt_ft,f5_lat,f5_lon,f5_alt_ft,f6_lat,f6_lon,f6_alt_ft,f7_lat,f7_lon,f7_alt_ft,f8_lat,f8_lon,f8_alt_ft,f9_lat,f9_lon,f9_alt_ft,f10_lat,f10_lon,f10_alt_ft
0,40.42386318225868,-85.75708858022136,30809.94008446692,44.47611,-85.20944,12800.0,40.49639,-85.71833,29200.0,42.95225280593826,-80.44966189445813,26000.0,39.99389,-84.58083,23000.0,40.51861,-85.65417,29500.0,40.67293769914379,-80.78294659688842,28000.0,42.500316893113045,-80.3675389087731,30000.0,39.471928932690965,-82.13987919833268,36370.00531283437,40.01278,-84.53944,23000.0
600,40.42386318225868,-85.75708858022136,30809.94008446692,44.41830000000018,-84.74170000000005,10000.0,40.49639,-85.71833,29200.0,42.95225280593826,-80.44966189445813,26000.0,41.98779999999998,-84.06699999999994,13000.0,40.51861,-85.65417,29500.0,40.67293769914379,-80.78294659688842,28000.0,42.500316893113045,-80.3675389087731,30000.0,39.471928932690965,-82.13987919833268,36370.00531283437,40.01278,-84.53944,23000.0
1200,40.42386318225868,-85.75708858022136,30809.94008446692,41.9183,-84.0217,8000.0,40.49639,-85.71833,29200.0,42.95225280593826,-80.44966189445813,26000.0,41.9878,-84.067,13000.0,40.51861,-85.65417,29500.0,40.67293769914379,-80.78294659688842,28000.0,42.500316893113045,-80.3675389087731,30000.0,39.471928932690965,-82.13987919833268,36370.00531283437,40.01278,-84.53944,23000.0
1800,40.42386318225868,-85.75708858022136,30809.94008446692,41.91829999999995,-84.02169999999992,8000.0,40.49639,-85.71833,29200.0,42.95225280593826,-80.44966189445813,26000.0,41.98779999999994,-84.06699999999991,13000.0,40.51861,-85.65417,29500.0,40.67293769914379,-80.78294659688842,28000.0,42.500316893113045,-80.3675389087731,30000.0,39.471928932690965,-82.13987919833268,36370.00531283437,40.01278,-84.53944,23000.0
2400,40.42386318225868,-85.75708858022136,30809.94008446692,41.9183,-84.0217,8000.0,40.49639,-85.71833,29200.0,42.95225280593826,-80.44966189445813,26000.0,41.9878,-84.067,13000.0,40.51861,-85.65417,29500.0,40.67293769914379,-80.78294659688842,28000.0,42.500316893113045,-80.3675389087731,30000.0,39.471928932690965,-82.13987919833268,36370.00531283437,40.01278,-84.53944,23000.0
3000,40.42386318225868,-85.75708858022136,30809.94008446692,41.918299999999924,-84.0216999999999,8000.0,40.49639,-85.71833,29200.0,42.95225280593826,-80.44966189445813,26000.0,41.98779999999991,-84.06699999999988,13000.0,40.51861,-85.65417,29500.0,40.67293769914379,-80.78294659688842,28000.0,42.500316893113045,-80.3675389087731,30000.0,39.471928932690965,-82.13987919833268,36370.00531283437,40.01278,-84.53944,23000.0
3600,40.42386318225868,-85.75708858022136,30809.94008446692,41.9183,-84.0217,8000.0,40.49639,-85.71833,29200.0,42.95225280593826,-80.44966189445813,26000.0,41.9878,-84.067,13000.0,40.51861,-85.65417,29500.0,40.67293769914379,-80.78294659688842,28000.0,42.500316893113045,-80.3675389087731,30000.0,39.471928932690965,-82.13987919833268,36370.00531283437,40.01278,-84.53944,23000.0
4200,40.42386318225868,-85.75708858022136,30809.94008446692,41.9182999999999,-84.02169999999988,8000.0,40.49639,-85.71833,29200.0,42.95225280593826,-80.44966189445813,26000.0,41.98779999999987,-84.06699999999987,13000.0,40.51861,-85.65417,29500.0,40.67293769914379,-80.78294659688842,28000.0,42.500316893113045,-80.3675389087731,30000.0,39.471928932690965,-82.13987919833268,36370.00531283437,40.01278,-84.53944,23000.0
4800,40.42386318225868,-85.75708858022136,30809.94008446692,41.9183,-84.0217,8000.0,40.49639,-85.71833,29200.0,42.95225280593826,-80.44966189445813,26000.0,41.9878,-84.067,13000.0,40.51861,-85.65417,29500.0,40.942495818529075,-81.21100582461104,20000.0,42.500316893113045,-80.3675389087731,30000.0,39.471928932690965,-82.13987919833268,36370.00531283437,40.01278,-84.53944,23000.0
5400,40.42386318225868,-85.75708858022136,30809.94008446692,41.91829999999988,-84.02169999999985,8000.0,40.49639,-85.71833,29200.0,42.95225280593826,-80.44966189445813,26000.0,41.98779999999983,-84.06699999999982,13000.0,40.51861,-85.65417,29500.0,41.17796696360367,-81.88929999999996,10000.0,42.500316893113045,-80.3675389087731,30000.0,39.471928932690965,-82.13987919833268,36370.00531283437,40.01278,-84.53944,23000.0
6000,40.42386318225868,-85.75708858022136,30809.94008446692,41.9183,-84.0217,8000.0,40.49639,-85.71833,29200.0,42.95225280593826,-80.44966189445813,26000.0,41.9878,-84.067,13000.0,40.51861,-85.65417,29500.0,42.4165,-82.60929999999996,8000.0,42.500316893113045,-80.3675389087731,30000.0,39.471928932690965,-82.13987919833268,36370.00531283437,40.01278,-84.53944,23000.0
6600,40.42386318225868,-85.75708858022136,30809.94008446692,41.91829999999983,-84.02169999999983,8000.0,40.49639,-85.71833,29200.0,42.95225280593826,-80.44966189445813,26000.0,41.987799999999815,-84.06699999999981,13000.0,40.51861,-85.65417,29500.0,42.4165,-82.60929999999996,8000.0,42.500316893113045,-80.3675389087731,30000.0,39.471928932690965,-82.13987919833268,36370.00531283437,40.01278,-84.53944,23000.0
7200,40.42386318225868,-85.75708858022136,30809.94008446692,41.9183,-84.0217,8000.0,40.49639,-85.71833,29200.0,42.95225280593826,-80.44966189445813,26000.0,41.9878,-84.067,13000.0,40.51861,-85.65417,29500.0,42.41649999999994,-82.60929999999996,8000.0,42.500316893113045,-80.3675389087731,30000.0,39.471928932690965,-82.13987919833268,36370.00531283437,40.01278,-84.53944,23000.0
7800,40.42386318225868,-85.75708858022136,30809.94008446692,41.91829999999984,-84.02169999999983,8000.0,40.49639,-85.71833,29200.0,42.95225280593826,-80.44966189445813,26000.0,41.98779999999976,-84.06699999999978,13000.0,40.51861,-85.65417,29500.0,42.4165,-82.60929999999996,8000.0,42.500316893113045,-80.3675389087731,30000.0,39.471928932690965,-82.13987919833268,36370.00531283437,40.01278,-84.53944,23000.0
8400,40.42386318225868,-85.75708858022136,30809.94008446692,41.9183,-84.0217,8000.0,40.49639,-85.71833,29200.0,42.95225280593826,-80.44966189445813,26000.0,41.9878,-84.067,13000.0,40.51861,-85.65417,29500.0,42.416499999999914,-82.60929999999996,8000.0,42.500316893113045,-80.3675389087731,30000.0,39.471928932690965,-82.13987919833268,36370.00531283437,40.01278,-84.53944,23000.0
9000,40.42386318225868,-85.75708858022136,30809.94008446692,41.91829999999979,-84.02169999999974,8000.0,40.49639,-85.71833,29200.0,42.95225280593826,-80.44966189445813,26000.0,41.987799999999694,-84.06699999999977,13000.0,40.51861,-85.65417,29500.0,42.4165,-82.60929999999996,8000.0,42.500316893113045,-80.3675389087731,30000.0,39.471928932690965,-82.13987919833268,36370.00531283437,40.01278,-84.53944,23000.0
9600,40.42386318225868,-85.75708858022136,30809.94008446692,41.9183,-84.0217,8000.0,40.49639,-85.71833,29200.0,42.95225280593826,-80.44966189445813,26000.0,41.9878,-84.067,13000.0,40.51861,-85.65417,29500.0,42.416499999999886,-82.60929999999996,8000.0,42.500316893113045,-80.3675389087731,30000.0,39.471928932690965,-82.13987919833268,36370.00531283437,40.01278,-84.53944,23000.0
10200,40.42386318225868,-85.75708858022136,30809.94008446692,41.918299999999725,-84.0216999999997,8000.0,40.49639,-85.71833,29200.0,42.95225280593826,-80.44966189445813,26000.0,41.98779999999963,-84.06699999999968,13000.0,40.51861,-85.65417,29500.0,42.4165,-82.60929999999996,8000.0,42.500316893113045,-80.3675389087731,30000.0,39.471928932690965,-82.13987919833268,36370.00531283437,40.01278,-84.53944,23000.0
10800,40.42386318225868,-85.75708858022136,30809.94008446692,41.9183,-84.0217,8000.0,40.49639,-85.71833,29200.0,42.95225280593826,-80.44966189445813,26000.0,41.9878,-84.067,13000.0,40.51861,-85.65417,29500.0,42.4164999999999,-82.60929999999996,8000.0,42.500316893113045,-80.3675389087731,30000.0,39.471928932690965,-82.13987919833268,36370.00531283437,40.01278,-84.53944,23000.0
11400,40.42386318225868,-85.75708858022136,30809.94008446692,41.918299999999675,-84.02169999999964,8000.0,40.49639,-85.71833,29200.0,42.95225280593826,-80.44966189445813,26000.0,41.98779999999958,-84.06699999999964,13000.0,40.51861,-85.65417,29500.0,42.4165,-82.60929999999996,8000.0,42.500316893113045,-80.3675389087731,30000.0,39.471928932690965,-82.13987919833268,36370.00531283437,40.01278,-84.53944,23000.0
