t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft,f3_lat,f3_lon,f3_alt_ft,f4_lat,f4_lon,f4_alt_ft,f5_lat,f5_lon,f5_alt_ft,f6_lat,f6_lon,f6_alt_ft,f7_lat,f7_lon,f7_alt_ft,f8_lat,f8_lon,f8_alt_ft,f9_lat,f9_lon,f9_alt_ft,f10_lat,f10_lon,f10_alt_ft,f11_lat,f11_lon,f11_alt_ft,f12_lat,f12_lon,f12_alt_ft,f13_lat,f13_lon,f13_alt_ft,f14_lat,f14_lon,f14_alt_ft,f15_lat,f15_lon,f15_alt_ft,f16_lat,f16_lon,f16_alt_ft,f17_lat,f17_lon,f17_alt_ft,f18_lat,f18_lon,f18_alt_ft,f19_lat,f19_lon,f19_alt_ft,f20_lat,f20_lon,f20_alt_ft,f21_lat,f21_lon,f21_alt_ft,f22_lat,f22_lon,f22_alt_ft,f23_lat,f23_lon,f23_alt_ft,f24_lat,f24_lon,f24_alt_ft,f25_lat,f25_lon,f25_alt_ft
0,41.77142718555955,-86.31708958885297,21000.0,42.51441205444099,-80.36900724312108,30810.162021458946,40.54183617077397,-85.84486435379898,33000.0,40.39472,-85.56056,35000.0,39.47299397976529,-82.13763238466804,31000.0,41.25726093444073,-80.5128711526116,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,42.614828747520555,-80.38386582210703,36000.0,39.47175308494507,-82.14025001051786,35501.6614671549,43.335463038667235,-86.13405145303786,31000.0,42.98361,-80.58861,29200.0,42.72859175431176,-80.4007502785051,30098.356244302344,43.080485356324296,-80.48185539415572,30114.73089865459,43.09239653435184,-86.22098350157782,23000.0,42.0127783381649,-86.34356447526095,27672.523975584987,42.514524242286974,-80.36902387826856,30369.913468937037,42.50205246442259,-80.36762424009582,31982.697781139683,39.471928932690965,-82.13987919833268,36370.00531283437,40.694704547525234,-80.76989494206009,30000.0,39.35379799148298,-82.44882117350564,38739.13182022658,40.01278,-84.53944,23000.0,40.67244148005905,-80.78324397282847,30000.0,42.04520638849397,-86.3451582551995,24881.40644198433,42.09997516767139,-86.34785041384998,29000.0,43.23277769933761,-86.17086549006416,33000.0
600,41.77142718555955,-86.31708958885297,21000.0,42.51441205444099,-80.36900724312108,30810.162021458946,40.54183617077397,-85.84486435379898,33000.0,40.39472,-85.56056,35000.0,39.47299397976529,-82.13763238466804,31000.0,41.25726093444073,-80.5128711526116,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,42.614828747520555,-81.02204509434364,30000.0,39.47175308494507,-82.14025001051786,35501.6614671549,43.335463038667235,-86.13405145303786,31000.0,42.98361,-80.58861,29200.0,42.72859175431176,-80.4007502785051,30098.356244302344,43.080485356324296,-80.48185539415572,30114.73089865459,43.09239653435184,-86.22098350157782,23000.0,42.0127783381649,-86.34356447526095,27672.523975584987,42.514524242286974,-80.36902387826856,30369.913468937037,42.50205246442259,-80.36762424009582,31982.697781139683,39.471928932690965,-82.13987919833268,36370.00531283437,40.694704547525234,-80.76989494206009,30000.0,39.35379799148298,-82.44882117350564,38739.13182022658,40.01278,-84.53944,23000.0,40.67244148005905,-80.78324397282847,30000.0,42.04520638849397,-86.3451582551995,24881.40644198433,42.09997516767139,-86.34785041384998,29000.0,43.23277769933761,-86.17086549006416,33000.0
1200,41.77142718555955,-86.31708958885297,21000.0,42.51441205444099,-80.36900724312108,30810.162021458946,40.54183617077397,-85.84486435379898,33000.0,40.39472,-85.56056,35000.0,39.47299397976529,-82.13763238466804,31000.0,41.25726093444073,-80.5128711526116,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,42.614828747520555,-81.61149310187517,20000.0,39.47175308494507,-82.14025001051786,35501.6614671549,43.335463038667235,-86.13405145303786,31000.0,42.98361,-80.58861,29200.0,42.72859175431176,-80.4007502785051,30098.356244302344,43.080485356324296,-80.48185539415572,30114.73089865459,43.09239653435184,-86.22098350157782,23000.0,42.0127783381649,-86.34356447526095,27672.523975584987,42.514524242286974,-80.36902387826856,30369.913468937037,42.50205246442259,-80.36762424009582,31982.697781139683,39.471928932690965,-82.13987919833268,36370.00531283437,40.694704547525234,-80.76989494206009,30000.0,39.35379799148298,-82.44882117350564,38739.13182022658,40.01278,-84.53944,23000.0,40.67244148005905,-80.78324397282847,30000.0,42.04520638849397,-86.3451582551995,24881.40644198433,42.09997516767139,-86.34785041384998,29000.0,43.23277769933761,-86.17086549006416,33000.0
1800,41.77142718555955,-86.31708958885297,21000.0,42.51441205444099,-80.36900724312108,30810.162021458946,40.54183617077397,-85.84486435379898,33000.0,40.39472,-85.56056,35000.0,39.47299397976529,-82.13763238466804,31000.0,41.25726093444073,-80.5128711526116,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,42.41650000000002,-81.88929999999996,10000.0,39.47175308494507,-82.14025001051786,35501.6614671549,43.335463038667235,-86.13405145303786,31000.0,42.98361,-80.58861,29200.0,42.72859175431176,-80.4007502785051,30098.356244302344,43.080485356324296,-80.48185539415572,30114.73089865459,43.09239653435184,-86.22098350157782,23000.0,42.0127783381649,-86.34356447526095,27672.523975584987,42.514524242286974,-80.36902387826856,30369.913468937037,42.50205246442259,-80.36762424009582,31982.697781139683,39.471928932690965,-82.13987919833268,36370.00531283437,40.694704547525234,-80.76989494206009,30000.0,39.35379799148298,-82.44882117350564,38739.13182022658,40.01278,-84.53944,23000.0,40.67244148005905,-80.78324397282847,30000.0,42.04520638849397,-86.3451582551995,24881.40644198433,42.09997516767139,-86.34785041384998,29000.0,43.23277769933761,-86.17086549006416,33000.0
2400,41.77142718555955,-86.31708958885297,21000.0,42.51441205444099,-80.36900724312108,30810.162021458946,40.54183617077397,-85.84486435379898,33000.0,40.39472,-85.56056,35000.0,39.47299397976529,-82.13763238466804,31000.0,41.25726093444073,-80.5128711526116,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,42.4165,-82.60929999999996,8000.0,39.47175308494507,-82.14025001051786,35501.6614671549,43.335463038667235,-86.13405145303786,31000.0,42.98361,-80.58861,29200.0,42.72859175431176,-80.4007502785051,30098.356244302344,43.080485356324296,-80.48185539415572,30114.73089865459,43.09239653435184,-86.22098350157782,23000.0,42.0127783381649,-86.34356447526095,27672.523975584987,42.514524242286974,-80.36902387826856,30369.913468937037,42.50205246442259,-80.36762424009582,31982.697781139683,39.471928932690965,-82.13987919833268,36370.00531283437,40.694704547525234,-80.76989494206009,30000.0,39.35379799148298,-82.44882117350564,38739.13182022658,40.01278,-84.53944,23000.0,40.67244148005905,-80.78324397282847,30000.0,42.04520638849397,-86.3451582551995,24881.40644198433,42.09997516767139,-86.34785041384998,29000.0,43.23277769933761,-86.17086549006416,33000.0
3000,41.77142718555955,-86.31708958885297,21000.0,42.51441205444099,-80.36900724312108,30810.162021458946,40.54183617077397,-85.84486435379898,33000.0,40.39472,-85.56056,35000.0,39.47299397976529,-82.13763238466804,31000.0,41.25726093444073,-80.5128711526116,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,42.4165000000001,-82.60929999999996,8000.0,39.47175308494507,-82.14025001051786,35501.6614671549,43.335463038667235,-86.13405145303786,31000.0,42.98361,-80.58861,29200.0,42.72859175431176,-80.4007502785051,30098.356244302344,43.080485356324296,-80.48185539415572,30114.73089865459,43.09239653435184,-86.22098350157782,23000.0,42.0127783381649,-86.34356447526095,27672.523975584987,42.514524242286974,-80.36902387826856,30369.913468937037,42.50205246442259,-80.36762424009582,31982.697781139683,39.471928932690965,-82.13987919833268,36370.00531283437,40.694704547525234,-80.76989494206009,30000.0,39.35379799148298,-82.44882117350564,38739.13182022658,40.01278,-84.53944,23000.0,40.67244148005905,-80.78324397282847,30000.0,42.04520638849397,-86.3451582551995,24881.40644198433,42.09997516767139,-86.34785041384998,29000.0,43.23277769933761,-86.17086549006416,33000.0
3600,41.77142718555955,-86.31708958885297,21000.0,42.51441205444099,-80.36900724312108,30810.162021458946,40.54183617077397,-85.84486435379898,33000.0,40.39472,-85.56056,35000.0,39.47299397976529,-82.13763238466804,31000.0,41.25726093444073,-80.5128711526116,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,42.4165,-82.60929999999996,8000.0,39.47175308494507,-82.14025001051786,35501.6614671549,43.335463038667235,-86.13405145303786,31000.0,42.98361,-80.58861,29200.0,42.72859175431176,-80.4007502785051,30098.356244302344,43.080485356324296,-80.48185539415572,30114.73089865459,43.09239653435184,-86.22098350157782,23000.0,42.0127783381649,-86.34356447526095,27672.523975584987,42.514524242286974,-80.36902387826856,30369.913468937037,42.50205246442259,-80.36762424009582,31982.697781139683,39.471928932690965,-82.13987919833268,36370.00531283437,40.694704547525234,-80.76989494206009,30000.0,39.35379799148298,-82.44882117350564,38739.13182022658,40.01278,-84.53944,23000.0,40.67244148005905,-80.78324397282847,30000.0,42.04520638849397,-86.3451582551995,24881.40644198433,42.09997516767139,-86.34785041384998,29000.0,43.23277769933761,-86.17086549006416,33000.0
4200,41.77142718555955,-86.31708958885297,21000.0,42.51441205444099,-80.36900724312108,30810.162021458946,40.54183617077397,-85.84486435379898,33000.0,40.39472,-85.56056,35000.0,39.47299397976529,-82.13763238466804,31000.0,41.25726093444073,-80.5128711526116,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,42.41649999999993,-82.60929999999996,8000.0,39.47175308494507,-82.14025001051786,35501.6614671549,43.335463038667235,-86.13405145303786,31000.0,42.98361,-80.58861,29200.0,42.72859175431176,-80.4007502785051,30098.356244302344,43.080485356324296,-80.48185539415572,30114.73089865459,43.09239653435184,-86.22098350157782,23000.0,42.0127783381649,-86.34356447526095,27672.523975584987,42.514524242286974,-80.36902387826856,30369.913468937037,42.50205246442259,-80.36762424009582,31982.697781139683,39.471928932690965,-82.13987919833268,36370.00531283437,40.694704547525234,-80.76989494206009,30000.0,39.35379799148298,-82.44882117350564,38739.13182022658,40.01278,-84.53944,23000.0,40.67244148005905,-80.78324397282847,30000.0,42.04520638849397,-86.3451582551995,24881.40644198433,42.09997516767139,-86.34785041384998,29000.0,43.23277769933761,-86.17086549006416,33000.0
4800,41.77142718555955,-86.31708958885297,21000.0,42.51441205444099,-80.36900724312108,30810.162021458946,40.54183617077397,-85.84486435379898,33000.0,40.39472,-85.56056,35000.0,39.47299397976529,-82.13763238466804,31000.0,41.25726093444073,-80.5128711526116,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,42.4165,-82.60929999999996,8000.0,39.47175308494507,-82.14025001051786,35501.6614671549,43.335463038667235,-86.13405145303786,31000.0,42.98361,-80.58861,29200.0,42.72859175431176,-80.4007502785051,30098.356244302344,43.080485356324296,-80.48185539415572,30114.73089865459,43.09239653435184,-86.22098350157782,23000.0,42.0127783381649,-86.34356447526095,27672.523975584987,42.514524242286974,-80.36902387826856,30369.913468937037,42.50205246442259,-80.36762424009582,31982.697781139683,39.471928932690965,-82.13987919833268,36370.00531283437,40.694704547525234,-80.76989494206009,30000.0,39.35379799148298,-82.44882117350564,38739.13182022658,40.01278,-84.53944,23000.0,40.67244148005905,-80.78324397282847,30000.0,42.04520638849397,-86.3451582551995,24881.40644198433,42.09997516767139,-86.34785041384998,29000.0,43.23277769933761,-86.17086549006416,33000.0
5400,41.77142718555955,-86.31708958885297,21000.0,42.51441205444099,-80.36900724312108,30810.162021458946,40.54183617077397,-85.84486435379898,33000.0,40.39472,-85.56056,35000.0,39.47299397976529,-82.13763238466804,31000.0,41.25726093444073,-80.5128711526116,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,42.41650000000027,-82.60929999999996,8000.0,39.47175308494507,-82.14025001051786,35501.6614671549,43.335463038667235,-86.13405145303786,31000.0,42.98361,-80.58861,29200.0,42.72859175431176,-80.4007502785051,30098.356244302344,43.080485356324296,-80.48185539415572,30114.73089865459,43.09239653435184,-86.22098350157782,23000.0,42.0127783381649,-86.34356447526095,27672.523975584987,42.514524242286974,-80.36902387826856,30369.913468937037,42.50205246442259,-80.36762424009582,31982.697781139683,39.471928932690965,-82.13987919833268,36370.00531283437,40.694704547525234,-80.76989494206009,30000.0,39.35379799148298,-82.44882117350564,38739.13182022658,40.01278,-84.53944,23000.0,40.67244148005905,-80.78324397282847,30000.0,42.04520638849397,-86.3451582551995,24881.40644198433,42.09997516767139,-86.34785041384998,29000.0,43.23277769933761,-86.17086549006416,33000.0
