t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft,f3_lat,f3_lon,f3_alt_ft,f4_lat,f4_lon,f4_alt_ft,f5_lat,f5_lon,f5_alt_ft,f6_lat,f6_lon,f6_alt_ft,f7_lat,f7_lon,f7_alt_ft,f8_lat,f8_lon,f8_alt_ft,f9_lat,f9_lon,f9_alt_ft,f10_lat,f10_lon,f10_alt_ft,f11_lat,f11_lon,f11_alt_ft,f12_lat,f12_lon,f12_alt_ft,f13_lat,f13_lon,f13_alt_ft,f14_lat,f14_lon,f14_alt_ft,f15_lat,f15_lon,f15_alt_ft
0,39.32131356227871,-82.56420521611844,35000.0,42.514458073230294,-80.36901421220203,32995.877145676706,40.48917,-85.68139,29000.0,43.080485356324296,-80.48185539415572,30114.73089865459,42.95225280593826,-80.44966189445813,26000.0,39.35379799148298,-82.44882117350564,38739.13182022658,40.01278,-84.53944,23000.0,41.39833,-81.93389,3100.0,39.61125077584645,-81.8651578969334,34771.951361293046,42.9280038324637,-86.26321046360388,23000.0,42.72780071772563,-80.4006330173043,30000.0,40.36649226258391,-85.71450803175537,33000.0,42.0441758554957,-86.34510770411295,33000.0,40.69475370909346,-80.76986511336376,30000.0,42.95290215287274,-80.4498223247169,20000.0
600,39.32131356227871,-82.56420521611844,35000.0,42.514458073230294,-80.36901421220203,32995.877145676706,40.48917,-85.68139,29000.0,43.080485356324296,-80.48185539415572,30114.73089865459,42.95225280593826,-80.44966189445813,26000.0,39.35379799148298,-82.44882117350564,38739.13182022658,40.01278,-84.53944,23000.0,42.416499999999985,-82.60929999999996,8000.0,39.61125077584645,-81.8651578969334,34771.951361293046,42.9280038324637,-86.26321046360388,23000.0,42.72780071772563,-80.4006330173043,30000.0,40.36649226258391,-85.71450803175537,33000.0,42.0441758554957,-86.34510770411295,33000.0,40.69475370909346,-80.76986511336376,30000.0,42.95290215287274,-80.4498223247169,20000.0
1200,39.32131356227871,-82.56420521611844,35000.0,42.514458073230294,-80.36901421220203,32995.877145676706,40.48917,-85.68139,29000.0,43.080485356324296,-80.48185539415572,30114.73089865459,42.95225280593826,-80.44966189445813,26000.0,39.35379799148298,-82.44882117350564,38739.13182022658,40.01278,-84.53944,23000.0,42.4165,-82.60929999999996,8000.0,39.61125077584645,-81.8651578969334,34771.951361293046,42.9280038324637,-86.26321046360388,23000.0,42.72780071772563,-80.4006330173043,30000.0,40.36649226258391,-85.71450803175537,33000.0,42.0441758554957,-86.34510770411295,33000.0,40.69475370909346,-80.76986511336376,30000.0,42.95290215287274,-80.4498223247169,20000.0
1800,39.32131356227871,-82.56420521611844,35000.0,42.514458073230294,-80.36901421220203,32995.877145676706,40.48917,-85.68139,29000.0,43.080485356324296,-80.48185539415572,30114.73089865459,42.95225280593826,-80.44966189445813,26000.0,39.35379799148298,-82.44882117350564,38739.13182022658,40.01278,-84.53944,23000.0,42.41650000000008,-82.60929999999996,8000.0,39.61125077584645,-81.8651578969334,34771.951361293046,42.9280038324637,-86.26321046360388,23000.0,42.72780071772563,-80.4006330173043,30000.0,40.36649226258391,-85.71450803175537,33000.0,42.0441758554957,-86.34510770411295,33000.0,40.69475370909346,-80.76986511336376,30000.0,42.95290215287274,-80.4498223247169,20000.0
2400,39.32131356227871,-82.56420521611844,35000.0,42.514458073230294,-80.36901421220203,32995.877145676706,40.48917,-85.68139,29000.0,43.080485356324296,-80.48185539415572,30114.73089865459,42.95225280593826,-80.44966189445813,26000.0,39.35379799148298,-82.44882117350564,38739.13182022658,40.01278,-84.53944,23000.0,42.4165,-82.60929999999996,8000.0,39.61125077584645,-81.8651578969334,34771.951361293046,42.9280038324637,-86.26321046360388,23000.0,42.72780071772563,-80.4006330173043,30000.0,40.36649226258391,-85.71450803175537,33000.0,42.0441758554957,-86.34510770411295,33000.0,40.69475370909346,-80.76986511336376,30000.0,42.95290215287274,-80.4498223247169,20000.0
3000,39.32131356227871,-82.56420521611844,35000.0,42.514458073230294,-80.36901421220203,32995.877145676706,40.48917,-85.68139,29000.0,43.080485356324296,-80.48185539415572,30114.73089865459,42.95225280593826,-80.44966189445813,26000.0,39.35379799148298,-82.44882117350564,38739.13182022658,40.01278,-84.53944,23000.0,42.41649999999989,-82.60929999999996,8000.0,39.61125077584645,-81.8651578969334,34771.951361293046,42.9280038324637,-86.26321046360388,23000.0,42.72780071772563,-81.03067456543253,30000.0,40.36649226258391,-85.71450803175537,33000.0,42.0441758554957,-86.34510770411295,33000.0,40.69475370909346,-80.76986511336376,30000.0,42.951233762919145,-81.16930018946039,20000.0
3600,39.32131356227871,-82.56420521611844,35000.0,42.514458073230294,-80.36901421220203,32995.877145676706,40.48917,-85.68139,29000.0,43.080485356324296,-80.48185539415572,30114.73089865459,42.95225280593826,-80.44966189445813,26000.0,39.35379799148298,-82.44882117350564,38739.13182022658,40.01278,-84.53944,23000.0,42.4165,-82.60929999999996,8000.0,39.61125077584645,-81.8651578969334,34771.951361293046,42.9280038324637,-86.26321046360388,23000.0,42.87645657951012,-81.40491467400699,20000.0,40.36649226258391,-85.71450803175537,33000.0,42.0441758554957,-86.34510770411295,33000.0,40.69475370909346,-80.76986511336376,30000.0,42.951233762919145,-81.88929999999996,10000.0
4200,39.32131356227871,-82.56420521611844,35000.0,42.514458073230294,-80.36901421220203,32995.877145676706,40.48917,-85.68139,29000.0,43.080485356324296,-80.48185539415572,30114.73089865459,42.95225280593826,-80.44966189445813,26000.0,39.35379799148298,-82.44882117350564,38739.13182022658,40.01278,-84.53944,23000.0,42.416499999999864,-82.60929999999996,8000.0,39.61125077584645,-81.8651578969334,34771.951361293046,42.9280038324637,-86.26321046360388,23000.0,43.13180014578767,-81.88929999999996,10000.0,40.36649226258391,-85.71450803175537,33000.0,42.0441758554957,-86.34510770411295,33000.0,40.69475370909346,-80.76986511336376,30000.0,42.4165,-82.60929999999996,8000.0
4800,39.32131356227871,-82.56420521611844,35000.0,42.514458073230294,-80.36901421220203,32995.877145676706,40.48917,-85.68139,29000.0,43.080485356324296,-80.48185539415572,30114.73089865459,42.95225280593826,-80.44966189445813,26000.0,39.35379799148298,-82.44882117350564,38739.13182022658,40.01278,-84.53944,23000.0,42.4165,-82.60929999999996,8000.0,39.61125077584645,-81.8651578969334,34771.951361293046,42.9280038324637,-86.26321046360388,23000.0,42.4165,-82.60929999999996,8000.0,40.36649226258391,-85.71450803175537,33000.0,42.0441758554957,-86.34510770411295,33000.0,40.69475370909346,-80.76986511336376,30000.0,42.4165,-82.60929999999996,8000.0
5400,39.32131356227871,-82.56420521611844,35000.0,42.514458073230294,-80.36901421220203,32995.877145676706,40.48917,-85.68139,29000.0,43.080485356324296,-80.48185539415572,30114.73089865459,42.95225280593826,-80.44966189445813,26000.0,39.35379799148298,-82.44882117350564,38739.13182022658,40.01278,-84.53944,23000.0,42.416499999999836,-82.60929999999996,8000.0,39.61125077584645,-81.8651578969334,34771.951361293046,42.9280038324637,-86.26321046360388,23000.0,42.416499999999935,-82.60929999999996,8000.0,40.36649226258391,-85.71450803175537,33000.0,42.0441758554957,-86.34510770411295,33000.0,40.69475370909346,-80.76986511336376,30000.0,42.41649999999992,-82.60929999999996,8000.0
